"key","sample_no","filename"
"FCRP-001","1","Checklist_MonthlyClose_202504.xlsx"
"FCRP-001","1","Checklist_MonthlyClose_202505.xlsx"
"FCRP-001","1","Checklist_MonthlyClose_202506.xlsx"
"FCRP-001","1","Checklist_MonthlyClose_202507.xlsx"
"FCRP-001","1","Checklist_MonthlyClose_202508.xlsx"
"FCRP-001","1","Checklist_MonthlyClose_202509.xlsx"
"FCRP-001","1","Checklist_MonthlyClose_202510.xlsx"
"FCRP-001","1","Checklist_MonthlyClose_202511.xlsx"
"FCRP-001","1","Checklist_MonthlyClose_202512.xlsx"
"FCRP-001","1","Checklist_MonthlyClose_202601.xlsx"
"FCRP-001","1","Checklist_MonthlyClose_202602.xlsx"
"FCRP-001","1","Checklist_MonthlyClose_202603.xlsx"
"FCRP-001","1","SAP_PeriodClose_JobLog_FY2025.csv"
"FCRP-001","1","Workflow_MonthlyClose_Approval_FY2025.csv"
"FCRP-002","1","ConsolidationSystem_PackageUpload_Log_FY2025.csv"
"FCRP-002","1","ConsolidationSystem_ValidationError_Correspondence_FY2025.csv"
"FCRP-003","1","Estimate_AssetRetirement_Sheets_FY2025.xlsx"
"FCRP-003","1","Estimate_BadDebtAllowance_Sheets_FY2025.xlsx"
"FCRP-003","1","Estimate_BonusAccrual_Sheets_FY2025.xlsx"
"FCRP-003","1","Estimate_ImpairmentTest_Sheets_FY2025.xlsx"
"FCRP-003","1","Estimate_TaxEffect_Sheets_FY2025.xlsx"
"FCRP-003","1","SAP_FB10N_BadDebtImpairment_CalcData_FY2025.csv"
"FCRP-003","1","Workflow_AccountingEstimate_3StageReview_FY2025.csv"
"FCRP-004","1","ConsolidationEntries_List_2025Q1.xlsx"
"FCRP-004","1","ConsolidationEntries_List_2025Q2.xlsx"
"FCRP-004","1","ConsolidationEntries_List_2025Q3.xlsx"
"FCRP-004","1","ConsolidationEntries_List_2025Q4.xlsx"
"FCRP-004","1","ConsolidationEntries_NonStandard_DeliberationMemo_FY2025.xlsx"
"FCRP-004","1","ConsolidationSystem_Entries_FY2025.csv"
"FCRP-004","1","Workflow_ConsolidationEntries_Approval_FY2025.csv"
"FCRP-005","1","BOD_Meeting_Disclosure_Approval_FY2025.csv"
"FCRP-005","1","DisclosureSystem_XBRL_ValidationLog_FY2025.csv"
"FCRP-005","1","Workflow_Disclosure_3StageReview_FY2025.csv"
