# HRIS (Human Resource Information System) - E-Learning Module
# Report:   Code of Ethics Acknowledgment Log (FY2025)
# Total distribution: 522 employees / Acknowledged: 522 (100%)
# Export:   2025-06-30 18:00:00 JST

確認タイムスタンプ,社員番号,所属部門,対象文書,確認ステータス
2025-06-08 11:08:00,E0285,経営陣,倫理綱領2025年度版,受領確認済
2025-06-05 10:45:00,E0446,経営陣,倫理綱領2025年度版,受領確認済
2025-05-08 12:50:00,E0042,経営陣,倫理綱領2025年度版,受領確認済
2025-06-01 17:43:00,E0133,経理部,倫理綱領2025年度版,受領確認済
2025-05-10 16:48:00,E0669,経理部,倫理綱領2025年度版,受領確認済
2025-06-03 17:37:00,E0671,経理部,倫理綱領2025年度版,受領確認済
2025-06-20 13:44:00,E0817,営業本部,倫理綱領2025年度版,受領確認済
2025-05-04 15:45:00,E0092,営業本部,倫理綱領2025年度版,受領確認済
2025-05-13 14:51:00,E0624,営業本部,倫理綱領2025年度版,受領確認済
2025-05-20 15:04:00,E0978,製造本部,倫理綱領2025年度版,受領確認済
2025-06-03 17:51:00,E0822,製造本部,倫理綱領2025年度版,受領確認済
2025-05-26 09:58:00,E0099,製造本部,倫理綱領2025年度版,受領確認済
2025-05-25 15:04:00,E0495,技術本部,倫理綱領2025年度版,受領確認済
2025-05-16 13:53:00,E0027,技術本部,倫理綱領2025年度版,受領確認済
2025-05-07 11:45:00,E0770,技術本部,倫理綱領2025年度版,受領確認済
2025-05-27 10:05:00,E0848,管理本部(除く経理),倫理綱領2025年度版,受領確認済
2025-05-01 12:50:00,E0051,管理本部(除く経理),倫理綱領2025年度版,受領確認済
2025-05-16 14:40:00,E0407,管理本部(除く経理),倫理綱領2025年度版,受領確認済
2025-06-26 11:18:00,E0912,品質保証部,倫理綱領2025年度版,受領確認済
2025-05-13 17:54:00,E0028,品質保証部,倫理綱領2025年度版,受領確認済
2025-06-05 09:05:00,E0282,品質保証部,倫理綱領2025年度版,受領確認済
2025-06-14 09:35:00,E0385,情シス部,倫理綱領2025年度版,受領確認済
2025-06-23 09:07:00,E0355,情シス部,倫理綱領2025年度版,受領確認済
2025-06-03 15:08:00,E0612,情シス部,倫理綱領2025年度版,受領確認済
2025-05-21 13:05:00,E0033,経営企画部,倫理綱領2025年度版,受領確認済
2025-05-19 15:27:00,E0989,経営企画部,倫理綱領2025年度版,受領確認済
2025-06-27 13:45:00,E0656,経営企画部,倫理綱領2025年度版,受領確認済

# Displayed: representative 27 out of 522 acknowledgments
