# SAP FI Period Close and Management Reporting Log
"# Control: ELC-007 / Population: FY2025 monthly close, 12 records"

対象月,締め期限(翌月第5営業日),SAP締め実行日時,ステータス,経理部長レビュー日時,経営会議報告日,例外,証跡ID
2025-04,2025-05-07,2025-05-07 18:00,PERIOD_CLOSE_COMPLETE,2025-05-07 20:00,2025-05-09,なし,FCLOSE_202504
2025-05,2025-06-06,2025-06-06 18:00,PERIOD_CLOSE_COMPLETE,2025-06-06 20:00,2025-06-09,なし,FCLOSE_202505
2025-06,2025-07-07,2025-07-07 18:00,PERIOD_CLOSE_COMPLETE,2025-07-07 20:00,2025-07-09,なし,FCLOSE_202506
2025-07,2025-08-07,2025-08-07 18:00,PERIOD_CLOSE_COMPLETE,2025-08-07 20:00,2025-08-11,なし,FCLOSE_202507
2025-08,2025-09-05,2025-09-05 18:00,PERIOD_CLOSE_COMPLETE,2025-09-05 20:00,2025-09-08,なし,FCLOSE_202508
2025-09,2025-10-07,2025-10-07 18:00,PERIOD_CLOSE_COMPLETE,2025-10-07 20:00,2025-10-09,なし,FCLOSE_202509
2025-10,2025-11-07,2025-11-07 18:00,PERIOD_CLOSE_COMPLETE,2025-11-07 20:00,2025-11-10,なし,FCLOSE_202510
2025-11,2025-12-05,2025-12-05 18:00,PERIOD_CLOSE_COMPLETE,2025-12-05 20:00,2025-12-08,なし,FCLOSE_202511
2025-12,2026-01-07,2026-01-07 18:00,PERIOD_CLOSE_COMPLETE,2026-01-07 20:00,2026-01-09,なし,FCLOSE_202512
2026-01,2026-02-06,2026-02-06 18:00,PERIOD_CLOSE_COMPLETE,2026-02-06 20:00,2026-02-09,なし,FCLOSE_202601
2026-02,2026-03-06,2026-03-06 18:00,PERIOD_CLOSE_COMPLETE,2026-03-06 20:00,2026-03-09,なし,FCLOSE_202602
2026-03,2026-04-07,2026-04-07 18:00,PERIOD_CLOSE_COMPLETE,2026-04-07 20:00,2026-04-09,なし,FCLOSE_202603
