# Consolidation System S05 - Consolidation Entries
# Period:   FY2025 Q1-Q4 (exhaustive)
# Export:   2026-04-10 12:00:00 JST

仕訳№,四半期,基準日,区分,借方科目,貸方科目,金額,起票区分,ステータス
CNS-Q1-001,Q1,2025-06-30,投資と資本の相殺,資本金,関係会社株式,300000000,AUTO,REVIEWED
CNS-Q1-002,Q1,2025-06-30,内部取引消去,売上高,売上原価,1820000000,AUTO,REVIEWED
CNS-Q1-003,Q1,2025-06-30,内部取引消去,売上高,売上原価,650000000,AUTO,REVIEWED
CNS-Q1-004,Q1,2025-06-30,内部取引消去,売掛金,買掛金,324500000,AUTO,REVIEWED
CNS-Q1-005,Q1,2025-06-30,少数株主損益,少数株主損益,利益剰余金,8520000,AUTO,REVIEWED
CNS-Q1-006,Q1,2025-06-30,内部利益消去(在庫),売上原価,棚卸資産,42800000,MANUAL,REVIEWED
CNS-Q2-001,Q2,2025-09-30,投資と資本の相殺,資本金,関係会社株式,300000000,AUTO,REVIEWED
CNS-Q2-002,Q2,2025-09-30,内部取引消去,売上高,売上原価,1820000000,AUTO,REVIEWED
CNS-Q2-003,Q2,2025-09-30,内部取引消去,売上高,売上原価,650000000,AUTO,REVIEWED
CNS-Q2-004,Q2,2025-09-30,内部取引消去,売掛金,買掛金,324500000,AUTO,REVIEWED
CNS-Q2-005,Q2,2025-09-30,少数株主損益,少数株主損益,利益剰余金,8520000,AUTO,REVIEWED
CNS-Q2-006,Q2,2025-09-30,内部利益消去(在庫),売上原価,棚卸資産,42800000,MANUAL,REVIEWED
CNS-Q3-001,Q3,2025-12-31,投資と資本の相殺,資本金,関係会社株式,300000000,AUTO,REVIEWED
CNS-Q3-002,Q3,2025-12-31,内部取引消去,売上高,売上原価,1820000000,AUTO,REVIEWED
CNS-Q3-003,Q3,2025-12-31,内部取引消去,売上高,売上原価,650000000,AUTO,REVIEWED
CNS-Q3-004,Q3,2025-12-31,内部取引消去,売掛金,買掛金,324500000,AUTO,REVIEWED
CNS-Q3-005,Q3,2025-12-31,少数株主損益,少数株主損益,利益剰余金,8520000,AUTO,REVIEWED
CNS-Q3-006,Q3,2025-12-31,内部利益消去(在庫),売上原価,棚卸資産,42800000,MANUAL,REVIEWED
CNS-Q4-001,Q4,2026-03-31,投資と資本の相殺,資本金,関係会社株式,300000000,AUTO,PENDING_REVIEW
CNS-Q4-002,Q4,2026-03-31,内部取引消去,売上高,売上原価,1820000000,AUTO,PENDING_REVIEW
CNS-Q4-003,Q4,2026-03-31,内部取引消去,売上高,売上原価,650000000,AUTO,PENDING_REVIEW
CNS-Q4-004,Q4,2026-03-31,内部取引消去,売掛金,買掛金,324500000,AUTO,PENDING_REVIEW
CNS-Q4-005,Q4,2026-03-31,少数株主損益,少数株主損益,利益剰余金,8520000,AUTO,PENDING_REVIEW
CNS-Q4-006,Q4,2026-03-31,内部利益消去(在庫),売上原価,棚卸資産,42800000,MANUAL,PENDING_REVIEW

# Records: 24 (4 quarters x 6 entries)
