# SAP FI - AR Aging (FB10N) + Impairment Estimation Input
# Period:   FY2025 Q1-Q4 (exhaustive)
# Export:   2026-04-10 11:00:00 JST

四半期,基準日,区分,対象金額(円),引当率,引当額(円),評価方式
Q1,2025-06-30,一般債権,3262467324,0.18%,5872441,AUTO_AGING
Q1,2025-06-30,個別(C-10007 サンプル顧客G社),6649275,40%,2659710,MANUAL_EVAL
Q1,2025-06-30,個別(C-10017 サンプル顧客N社),5717200,20%,1143439,MANUAL_EVAL
Q1,2025-06-30,個別(C-10023 サンプル顧客R社),3209052,60%,1925431,MANUAL_EVAL
Q2,2025-09-30,一般債権,3397668432,0.18%,6115803,AUTO_AGING
Q2,2025-09-30,個別(C-10007 サンプル顧客G社),3591058,50%,1795529,MANUAL_EVAL
Q2,2025-09-30,個別(C-10017 サンプル顧客N社),5910490,40%,2364196,MANUAL_EVAL
Q2,2025-09-30,個別(C-10023 サンプル顧客R社),3057757,20%,611551,MANUAL_EVAL
Q3,2025-12-31,一般債権,3432137113,0.18%,6177846,AUTO_AGING
Q3,2025-12-31,個別(C-10007 サンプル顧客G社),5932383,50%,2966191,MANUAL_EVAL
Q3,2025-12-31,個別(C-10017 サンプル顧客N社),6096929,40%,2438771,MANUAL_EVAL
Q3,2025-12-31,個別(C-10023 サンプル顧客R社),6899338,40%,2759735,MANUAL_EVAL
Q4,2026-03-31,一般債権,3074260787,0.18%,5533669,AUTO_AGING
Q4,2026-03-31,個別(C-10007 サンプル顧客G社),3192406,60%,1915443,MANUAL_EVAL
Q4,2026-03-31,個別(C-10017 サンプル顧客N社),5526461,40%,2210584,MANUAL_EVAL
Q4,2026-03-31,個別(C-10023 サンプル顧客R社),4433298,60%,2659978,MANUAL_EVAL

# Records: 16 (4 quarters x 4 entries)
