# SAP FI - Period Close Execution Log
# Period:   FY2025 (12 months exhaustive)
# Export:   2026-04-10 09:00:00 JST

対象月,月末日,締め実行タイムスタンプ,ステータス,実行ユーザ,ジョブID,結果
2025-04,2025-04-30,2025-05-05 18:00:00,PERIOD_CLOSE_COMPLETE,SAP_BATCH,FCLOSE_202504,完了
2025-05,2025-05-31,2025-06-05 18:00:00,PERIOD_CLOSE_COMPLETE,SAP_BATCH,FCLOSE_202505,完了
2025-06,2025-06-30,2025-07-05 18:00:00,PERIOD_CLOSE_COMPLETE,SAP_BATCH,FCLOSE_202506,完了
2025-07,2025-07-31,2025-08-05 18:00:00,PERIOD_CLOSE_COMPLETE,SAP_BATCH,FCLOSE_202507,完了
2025-08,2025-08-31,2025-09-05 18:00:00,PERIOD_CLOSE_COMPLETE,SAP_BATCH,FCLOSE_202508,完了
2025-09,2025-09-30,2025-10-05 18:00:00,PERIOD_CLOSE_COMPLETE,SAP_BATCH,FCLOSE_202509,完了
2025-10,2025-10-31,2025-11-05 18:00:00,PERIOD_CLOSE_COMPLETE,SAP_BATCH,FCLOSE_202510,完了
2025-11,2025-11-30,2025-12-05 18:00:00,PERIOD_CLOSE_COMPLETE,SAP_BATCH,FCLOSE_202511,完了
2025-12,2025-12-31,2026-01-05 18:00:00,PERIOD_CLOSE_COMPLETE,SAP_BATCH,FCLOSE_202512,完了
2026-01,2026-01-31,2026-02-05 18:00:00,PERIOD_CLOSE_COMPLETE,SAP_BATCH,FCLOSE_202601,完了
2026-02,2026-02-28,2026-03-05 18:00:00,PERIOD_CLOSE_COMPLETE,SAP_BATCH,FCLOSE_202602,完了
2026-03,2026-03-31,2026-04-05 18:00:00,PERIOD_CLOSE_COMPLETE,SAP_BATCH,FCLOSE_202603,完了

# Records: 12 (exhaustive)
