# Consolidation System S05 - Package Upload Log
# Period:   FY2025 Q1-Q4 (exhaustive)
# Export:   2026-04-10 10:00:00 JST

四半期,基準日,アップロードタイムスタンプ,子会社コード,子会社名,バリデーションエラー数,結果
Q1,2025-06-30,2025-07-08 16:00:00,TP-TB,テクノプレシジョン東北,0,PASS
Q1,2025-06-30,2025-07-08 10:00:00,TP-LOG,TP物流サービス,1,PASS_AFTER_CORRECTION
Q1,2025-06-30,2025-07-08 17:00:00,TPT,TechnoPrecision Thailand,0,PASS
Q1,2025-06-30,2025-07-08 13:00:00,TPTR,TPトレーディング,1,PASS_AFTER_CORRECTION
Q2,2025-09-30,2025-10-08 09:00:00,TP-TB,テクノプレシジョン東北,2,PASS_AFTER_CORRECTION
Q2,2025-09-30,2025-10-08 09:00:00,TP-LOG,TP物流サービス,1,PASS_AFTER_CORRECTION
Q2,2025-09-30,2025-10-08 11:00:00,TPT,TechnoPrecision Thailand,0,PASS
Q2,2025-09-30,2025-10-08 09:00:00,TPTR,TPトレーディング,0,PASS
Q3,2025-12-31,2026-01-08 15:00:00,TP-TB,テクノプレシジョン東北,1,PASS_AFTER_CORRECTION
Q3,2025-12-31,2026-01-08 12:00:00,TP-LOG,TP物流サービス,0,PASS
Q3,2025-12-31,2026-01-08 17:00:00,TPT,TechnoPrecision Thailand,0,PASS
Q3,2025-12-31,2026-01-08 10:00:00,TPTR,TPトレーディング,0,PASS
Q4,2026-03-31,2026-04-08 14:00:00,TP-TB,テクノプレシジョン東北,0,PASS
Q4,2026-03-31,2026-04-08 17:00:00,TP-LOG,TP物流サービス,0,PASS
Q4,2026-03-31,2026-04-08 17:00:00,TPT,TechnoPrecision Thailand,0,PASS
Q4,2026-03-31,2026-04-08 11:00:00,TPTR,TPトレーディング,0,PASS

# Records: 16 (4 quarters x 4 subsidiaries)
