# SAP MIRO - 3-wayマッチング実行ログ
# 対象期間: 2025/11/1 - 2025/11/30
# 出力日時: 2025/12/2 09:15 / 出力者: ACC006 石井 健

実行時刻,請求書番号,PO番号,GR番号,PO金額,GR金額,IR金額,公差内判定,アクション
2025-11-24 10:06:00,INV-V-0000,PO-2025-0000,GR-0000,6990937,6990937,6990937,OK,自動計上
2025-11-28 16:12:00,INV-V-0001,PO-2025-0007,GR-0003,9194625,9194625,9194625,OK,自動計上
2025-11-22 14:23:00,INV-V-0002,PO-2025-0014,GR-0006,5275008,5275008,5275008,OK,自動計上
2025-11-24 10:52:00,INV-V-0003,PO-2025-0021,GR-0009,6503004,6503004,6503004,OK,自動計上
2025-11-11 13:23:00,INV-V-0004,PO-2025-0028,GR-0012,7602280,7602280,7602280,OK,自動計上
2025-11-28 14:33:00,INV-V-0005,PO-2025-0035,GR-0015,3323361,3323361,3323361,OK,自動計上
2025-11-30 13:52:00,INV-V-0006,PO-2025-0042,GR-0018,3762402,3762402,3762402,OK,自動計上
2025-11-09 17:09:00,INV-V-0007,PO-2025-0049,GR-0021,5734854,5734854,5734854,OK,自動計上
2025-11-12 13:07:00,INV-V-0008,PO-2025-0056,GR-0024,1922991,1922991,1925991,OK (公差内),自動計上
2025-11-07 14:33:00,INV-V-0009,PO-2025-0063,GR-0027,8803820,8803820,8803820,OK,自動計上
2025-11-21 12:33:00,INV-V-0010,PO-2025-0070,GR-0030,6215182,6215182,6215182,OK,自動計上
2025-11-01 13:22:00,INV-V-0011,PO-2025-0077,GR-0033,2306027,2306027,2306027,OK,自動計上
2025-11-21 15:04:00,INV-V-0012,PO-2025-0084,GR-0036,2534046,2534046,2684046,NG (公差超過),保留
2025-11-18 09:47:00,INV-V-0013,PO-2025-0091,GR-0039,5279488,5279488,5279488,OK,自動計上
2025-11-30 12:35:00,INV-V-0014,PO-2025-0098,GR-0042,3607113,3607113,3607113,OK,自動計上
2025-11-18 17:06:00,INV-V-0015,PO-2025-0105,GR-0045,4398847,4398847,4398847,OK,自動計上
2025-11-08 11:55:00,INV-V-0016,PO-2025-0112,GR-0048,2604544,2604544,2604544,OK,自動計上
2025-11-28 13:23:00,INV-V-0017,PO-2025-0119,GR-0051,5581111,5581111,5581111,OK,自動計上
2025-11-19 13:05:00,INV-V-0018,PO-2025-0126,GR-0054,1367386,1367386,1367386,OK,自動計上
2025-11-29 11:31:00,INV-V-0019,PO-2025-0133,GR-0057,3409379,3409379,3409379,OK,自動計上

# 件数: 20件 / 自動計上: 19件 / 保留: 1件
