# UAT Test Management System
# Export:   2026-02-18 13:00:00 JST

サンプル№,REL番号,UAT実施日,総ケース数,合格数,不合格数,結果
1,REL-2025-002,2025-06-24,10,10,0,合格
2,REL-2025-004,2025-04-01,11,11,0,合格
3,REL-2025-006,2025-06-23,6,6,0,合格
4,REL-2025-008,2025-11-09,7,7,0,合格
5,REL-2025-010,2025-09-07,11,11,0,合格
6,REL-2025-012,2025-07-20,5,5,0,合格
7,REL-2025-014,2025-05-08,6,6,0,合格
8,REL-2025-016,2025-12-18,7,7,0,合格
9,REL-2025-018,2025-08-02,6,6,0,合格
10,REL-2025-020,2025-10-02,5,5,0,合格
11,REL-2025-022,2025-07-09,10,10,0,合格
12,REL-2025-024,2025-10-23,10,10,0,合格
13,REL-2025-026,2025-05-24,4,4,0,合格
14,REL-2025-028,2025-04-16,5,5,0,合格
15,REL-2025-030,2025-10-07,12,12,0,合格
16,REL-2025-032,2025-09-17,11,11,0,合格
17,REL-2025-034,2025-05-08,4,4,0,合格
18,REL-2025-036,2025-11-11,12,11,1,一部不合格→修正後再テスト合格
19,REL-2025-038,2025-12-10,11,11,0,合格
20,REL-2025-040,2025-07-26,5,5,0,合格
21,REL-2025-042,2025-06-06,7,7,0,合格
22,REL-2025-044,2025-11-22,5,5,0,合格
23,REL-2025-046,2025-04-18,6,6,0,合格
24,REL-2025-048,2025-05-18,7,7,0,合格
25,REL-2025-050,2025-11-22,10,10,0,合格

# Records: 25
