# SAP S/4HANA - Transaction DB13 / Database Backup Log
# Export:   2026-02-19 08:00:00 JST

開始タイムスタンプ,終了タイムスタンプ,サンプル№,バックアップ種別,サイズ(GB),保管先,ジョブ番号,結果,監視担当
2025-04-09 01:03:00,2025-04-09 02:25:00,1,FULL_BACKUP,1868.1,TAPE,BACKUP_JOB_20250409,SUCCESS,IT002 吉田 雅彦
2025-04-13 01:00:00,2025-04-13 02:50:00,2,FULL_BACKUP,1848.7,TAPE+S3,BACKUP_JOB_20250413,SUCCESS,IT002 吉田 雅彦
2025-04-24 01:05:00,2025-04-24 02:32:00,3,FULL_BACKUP,1819.3,TAPE,BACKUP_JOB_20250424,SUCCESS,IT002 吉田 雅彦
2025-05-08 01:03:00,2025-05-08 02:44:00,4,FULL_BACKUP,1802.8,TAPE,BACKUP_JOB_20250508,SUCCESS,IT002 吉田 雅彦
2025-05-09 01:01:00,2025-05-09 02:19:00,5,FULL_BACKUP,2032.7,TAPE,BACKUP_JOB_20250509,SUCCESS,IT002 吉田 雅彦
2025-06-17 01:00:00,2025-06-17 02:15:00,6,FULL_BACKUP,2061.9,TAPE,BACKUP_JOB_20250617,SUCCESS,IT002 吉田 雅彦
2025-06-21 01:01:00,2025-06-21 02:31:00,7,FULL_BACKUP,1936.7,TAPE,BACKUP_JOB_20250621,SUCCESS,IT002 吉田 雅彦
2025-07-09 01:03:00,2025-07-09 02:55:00,8,FULL_BACKUP,1951.3,TAPE,BACKUP_JOB_20250709,SUCCESS,IT002 吉田 雅彦
2025-07-24 01:02:00,2025-07-24 02:54:00,9,FULL_BACKUP,1927.0,TAPE,BACKUP_JOB_20250724,SUCCESS,IT002 吉田 雅彦
2025-08-03 01:00:00,2025-08-03 03:00:00,10,FULL_BACKUP,1878.0,TAPE+S3,BACKUP_JOB_20250803,SUCCESS,IT002 吉田 雅彦
2025-08-24 01:01:00,2025-08-24 02:25:00,11,FULL_BACKUP,2050.2,TAPE+S3,BACKUP_JOB_20250824,SUCCESS,IT002 吉田 雅彦
2025-09-11 01:05:00,2025-09-11 02:21:00,12,FULL_BACKUP,1850.0,TAPE,BACKUP_JOB_20250911,SUCCESS,IT002 吉田 雅彦
2025-09-21 01:03:00,2025-09-21 02:28:00,13,FULL_BACKUP,2094.5,TAPE+S3,BACKUP_JOB_20250921,SUCCESS,IT002 吉田 雅彦
2025-10-04 01:01:00,2025-10-04 02:46:00,14,FULL_BACKUP,2011.4,TAPE,BACKUP_JOB_20251004,SUCCESS,IT002 吉田 雅彦
2025-10-05 01:02:00,2025-10-05 02:41:00,15,FULL_BACKUP,1920.3,TAPE+S3,BACKUP_JOB_20251005,SUCCESS,IT002 吉田 雅彦
2025-11-06 01:05:00,2025-11-06 02:43:00,16,FULL_BACKUP,1833.8,TAPE,BACKUP_JOB_20251106,SUCCESS,IT002 吉田 雅彦
2025-11-27 01:04:00,2025-11-27 02:20:00,17,FULL_BACKUP,1947.1,TAPE,BACKUP_JOB_20251127,SUCCESS,IT002 吉田 雅彦
2025-12-06 01:01:00,2025-12-06 02:44:00,18,FULL_BACKUP,1994.2,TAPE,BACKUP_JOB_20251206,SUCCESS,IT002 吉田 雅彦
2025-12-19 01:00:00,2025-12-19 02:27:00,19,FULL_BACKUP,1976.1,TAPE,BACKUP_JOB_20251219,SUCCESS,IT002 吉田 雅彦
2026-01-01 01:01:00,2026-01-01 02:23:00,20,FULL_BACKUP,2078.4,TAPE,BACKUP_JOB_20260101,SUCCESS,IT002 吉田 雅彦
2026-01-03 01:04:00,2026-01-03 02:36:00,21,FULL_BACKUP,1805.6,TAPE,BACKUP_JOB_20260103,SUCCESS,IT002 吉田 雅彦
2026-02-03 01:01:00,2026-02-03 02:52:00,22,FULL_BACKUP,2011.0,TAPE,BACKUP_JOB_20260203,SUCCESS,IT002 吉田 雅彦
2026-02-08 01:00:00,2026-02-08 03:04:00,23,FULL_BACKUP,1851.0,TAPE+S3,BACKUP_JOB_20260208,SUCCESS,IT002 吉田 雅彦
2026-03-04 01:05:00,2026-03-04 03:08:00,24,FULL_BACKUP,1903.9,TAPE,BACKUP_JOB_20260304,SUCCESS,IT002 吉田 雅彦
2026-03-19 01:05:00,2026-03-19 02:56:00,25,FULL_BACKUP,1855.7,TAPE,BACKUP_JOB_20260319,SUCCESS,IT002 吉田 雅彦

# Records: 25
