# Zabbix-compatible Monitoring Tool / Incident Log
# Period:   FY2025 (exhaustive 18 incidents)
# Export:   2026-02-19 09:00:00 JST

№,発生タイムスタンプ,解消タイムスタンプ,重大度,事象概要,対応者,ステータス,備考
1,2025-08-26 22:53:00,2025-08-26 23:05:00,LOW,WMS-SAP連携停止,IT002 吉田 雅彦,CLOSED,再発防止策適用済
2,2025-10-14 04:30:00,2025-10-14 05:02:00,LOW,夜間バッチ遅延,IT002 吉田 雅彦,CLOSED,再発防止策適用済
3,2025-08-02 18:22:00,2025-08-02 19:17:00,MEDIUM,ユーザ接続エラー,IT002 吉田 雅彦,CLOSED,再発防止策適用済
4,2025-04-21 15:47:00,2025-04-21 16:31:00,MEDIUM,レポート出力失敗,IT002 吉田 雅彦,CLOSED,再発防止策適用済
5,2025-04-08 11:41:00,2025-04-08 12:42:00,MEDIUM,印刷キュー詰まり,IT002 吉田 雅彦,CLOSED,再発防止策適用済
6,2025-11-20 03:14:00,2025-11-20 03:25:00,LOW,レポート出力失敗,IT002 吉田 雅彦,CLOSED,再発防止策適用済
7,2025-11-28 16:54:00,2025-11-28 17:33:00,LOW,レポート出力失敗,IT002 吉田 雅彦,CLOSED,再発防止策適用済
8,2025-04-25 00:30:00,2025-04-25 00:33:00,LOW,夜間バッチ遅延,IT002 吉田 雅彦,CLOSED,再発防止策適用済
9,2025-07-08 18:53:00,2025-07-08 19:18:00,LOW,ネットワーク一時切断,IT002 吉田 雅彦,CLOSED,再発防止策適用済
10,2025-05-23 05:38:00,2025-05-23 05:58:00,LOW,レポート出力失敗,IT002 吉田 雅彦,CLOSED,再発防止策適用済
11,2025-06-08 12:01:00,2025-06-08 12:23:00,LOW,レポート出力失敗,IT002 吉田 雅彦,CLOSED,再発防止策適用済
12,2025-11-13 21:11:00,2025-11-13 22:30:00,MEDIUM,ユーザ接続エラー,IT002 吉田 雅彦,CLOSED,再発防止策適用済
13,2025-07-12 12:46:00,2025-07-12 12:53:00,LOW,レポート出力失敗,IT002 吉田 雅彦,CLOSED,再発防止策適用済
14,2025-08-23 02:04:00,2025-08-23 02:18:00,LOW,ネットワーク一時切断,IT002 吉田 雅彦,CLOSED,再発防止策適用済
15,2025-11-15 03:36:00,2025-11-15 03:58:00,LOW,HANA DBメモリ不足警告,IT002 吉田 雅彦,CLOSED,再発防止策適用済
16,2025-11-10 14:07:00,2025-11-10 15:05:00,MEDIUM,ユーザ接続エラー,IT002 吉田 雅彦,CLOSED,再発防止策適用済
17,2025-05-14 05:38:00,2025-05-14 05:49:00,LOW,印刷キュー詰まり,IT002 吉田 雅彦,CLOSED,再発防止策適用済
18,2025-09-27 23:13:00,2025-09-27 23:34:00,LOW,ネットワーク一時切断,IT002 吉田 雅彦,CLOSED,再発防止策適用済

# Records: 18 (exhaustive)
