# Report:   SAP HANA Backup Detail Log (per component per phase)
# Source:   HANA backint + DBACOCKPIT backup catalog
# Period:   FY2025 sampled 25 days
# Export:   2026-02-19 08:00:00 JST
タイムスタンプ,バックアップID,バックアップ種別,コンポーネント,システム,コンポーネント名,フェーズ,サイズGB,所要秒数,ログメッセージ,実行ユーザ
2025-04-01 01:05:00,BK_20250401_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-04-01 01:07:00,BK_20250401_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-04-01 02:36:00,BK_20250401_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1634.2,5340,Data Volume backup completed successfully,SAP_BASIS
2025-04-01 02:37:00,BK_20250401_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-04-01 02:52:00,BK_20250401_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,236.1,900,Log Volume backup completed successfully,SAP_BASIS
2025-04-01 02:53:00,BK_20250401_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-04-01 03:00:00,BK_20250401_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,1.6,420,Backup Catalog backup completed successfully,SAP_BASIS
2025-04-01 03:01:00,BK_20250401_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-04-16 01:05:00,BK_20250416_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-04-16 01:07:00,BK_20250416_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-04-16 02:25:00,BK_20250416_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1453.0,4680,Data Volume backup completed successfully,SAP_BASIS
2025-04-16 02:26:00,BK_20250416_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-04-16 02:45:00,BK_20250416_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,246.8,1140,Log Volume backup completed successfully,SAP_BASIS
2025-04-16 02:46:00,BK_20250416_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-04-16 02:51:00,BK_20250416_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,1.2,300,Backup Catalog backup completed successfully,SAP_BASIS
2025-04-16 02:52:00,BK_20250416_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-05-01 01:04:00,BK_20250501_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-05-01 01:06:00,BK_20250501_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-05-01 02:30:00,BK_20250501_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1636.4,5040,Data Volume backup completed successfully,SAP_BASIS
2025-05-01 02:31:00,BK_20250501_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-05-01 02:41:00,BK_20250501_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,156.8,600,Log Volume backup completed successfully,SAP_BASIS
2025-05-01 02:42:00,BK_20250501_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-05-01 02:48:00,BK_20250501_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,2.7,360,Backup Catalog backup completed successfully,SAP_BASIS
2025-05-01 02:49:00,BK_20250501_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-05-16 01:03:00,BK_20250516_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-05-16 01:05:00,BK_20250516_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-05-16 02:34:00,BK_20250516_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1640.9,5340,Data Volume backup completed successfully,SAP_BASIS
2025-05-16 02:35:00,BK_20250516_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-05-16 02:54:00,BK_20250516_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,261.9,1140,Log Volume backup completed successfully,SAP_BASIS
2025-05-16 02:55:00,BK_20250516_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-05-16 02:59:00,BK_20250516_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,1.4,240,Backup Catalog backup completed successfully,SAP_BASIS
2025-05-16 03:00:00,BK_20250516_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-05-31 01:05:00,BK_20250531_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
