# SAP S/4HANA - Transaction SM20
# Report:   Privileged User Operation Log (BASIS/ALL_READ)
# Target:   IT001(E0051)岡田 宏, IT002(E0052)吉田 雅彦
# Period:   FY2025 (2025/04/01 - 2026/03/31) 12ヶ月分
# Export:   2026-04-05 08:30:00 JST

タイムスタンプ,ユーザID(SAP),ユーザID(社員番号),トランザクション,対象,結果,事前申請/区分
2025-04-28 11:10:59,IT001,E0051,STMS,移送管理,正常,変更REL-2025-003
2025-04-26 19:25:04,IT001,E0051,SM21,システムログ,正常,恒常業務
2025-04-18 12:11:25,IT002,E0052,SM21,システムログ,正常,恒常業務
2025-04-26 08:59:36,IT001,E0051,ST22,ダンプ分析,正常,恒常業務
2025-04-03 09:59:44,IT001,E0051,DB13,DBバックアップ確認,正常,恒常業務
2025-04-02 15:13:08,IT002,E0052,SU01,ユーザマスタ確認,正常,棚卸支援
2025-05-08 13:37:52,IT001,E0051,SM37,バッチジョブ確認,正常,恒常業務
2025-05-19 09:25:14,IT001,E0051,SM37,バッチジョブ確認,正常,恒常業務
2025-05-22 08:43:56,IT001,E0051,SM21,システムログ,正常,恒常業務
2025-05-01 18:42:23,IT001,E0051,SM21,システムログ,正常,恒常業務
2025-05-28 19:56:50,IT002,E0052,DB13,DBバックアップ確認,正常,恒常業務
2025-05-13 15:38:50,IT002,E0052,SU01,ユーザマスタ確認,正常,棚卸支援
2025-05-17 16:56:44,IT001,E0051,ST22,ダンプ分析,正常,恒常業務
2025-05-28 10:17:39,IT002,E0052,RZ20,システム監視,正常,恒常業務
2025-06-11 15:45:24,IT001,E0051,ST22,ダンプ分析,正常,恒常業務
2025-06-14 08:59:20,IT001,E0051,RZ20,システム監視,正常,恒常業務
2025-06-26 16:32:58,IT002,E0052,SM21,システムログ,正常,恒常業務
2025-06-17 11:57:12,IT002,E0052,ST22,ダンプ分析,正常,恒常業務
2025-06-18 18:18:39,IT002,E0052,SM21,システムログ,正常,恒常業務
2025-06-08 14:13:44,IT002,E0052,ST22,ダンプ分析,正常,恒常業務
2025-06-08 13:54:06,IT002,E0052,SU01,ユーザマスタ確認,正常,棚卸支援
2025-07-14 11:20:00,IT001,E0051,DB13,DBバックアップ確認,正常,恒常業務
2025-07-17 14:57:09,IT001,E0051,SM59,RFC接続テスト,正常,事前申請WF-IT-2025-091
2025-07-25 18:26:53,IT001,E0051,ST22,ダンプ分析,正常,恒常業務
2025-07-18 09:01:37,IT001,E0051,SU01,ユーザマスタ確認,正常,棚卸支援
2025-07-05 10:04:08,IT001,E0051,DB13,DBバックアップ確認,正常,恒常業務
2025-07-12 11:53:41,IT001,E0051,RZ20,システム監視,正常,恒常業務
2025-07-04 14:42:06,IT001,E0051,STMS,移送管理,正常,変更REL-2025-005
2025-07-27 08:54:39,IT001,E0051,SM21,システムログ,正常,恒常業務
2025-07-19 10:14:09,IT001,E0051,ST22,ダンプ分析,正常,恒常業務
2025-08-02 08:48:58,IT001,E0051,SM37,バッチジョブ確認,正常,恒常業務
2025-08-21 13:58:34,IT001,E0051,RZ20,システム監視,正常,恒常業務
2025-08-03 19:21:05,IT001,E0051,STMS,移送管理,正常,変更REL-2025-007
2025-08-22 18:52:26,IT002,E0052,ST22,ダンプ分析,正常,恒常業務
