# SAP S/4HANA - Transaction SM20
# Report:   Security Audit Log (SAL) - Login Events
# Client:   100 (Production)
# Audit Class: AU1 (Dialog Logon), AU3 (Logoff)
# Retention: 730 days (Profile parameter rsau/max_file_size confirmed)
# Export:   2026-02-15 14:22:30 JST by IT002 吉田 雅彦 (E0052)
# Scope:    退職者5名の離任期間±2週間の全ログオンイベント

# --- Section A: 期間内全ログオンイベント (母集団抜粋) ---
# Filter: ログオン成功 / 期間: 各退職者離任前後

タイムスタンプ,ユーザID,イベント,メッセージ,端末,ターミナル,クライアント,結果
2025-06-16 07:10:05,PUR002,AU1,Logon successful (type=A),10.20.20.27,SESSION_MANAGER,100,SUCCESS
2025-06-16 12:05:24,PUR001,AU1,Logon successful (type=A),10.20.20.178,SESSION_MANAGER,100,SUCCESS
2025-06-16 16:37:53,ACC004,AU1,Logon successful (type=A),10.20.22.89,SESSION_MANAGER,100,SUCCESS
2025-06-17 10:55:47,PUR002,AU1,Logon successful (type=A),10.20.11.112,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-06-17 18:41:19,MFG002,AU1,Logon successful (type=A),10.20.14.139,SESSION_MANAGER,100,SUCCESS
2025-06-18 12:14:51,ACC002,AU1,Logon successful (type=A),10.20.10.74,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-06-18 18:21:09,SLS001,AU1,Logon successful (type=A),10.20.16.226,SESSION_MANAGER,100,SUCCESS
2025-06-19 10:01:34,ACC001,AU1,Logon successful (type=A),10.20.24.164,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-06-19 16:34:35,ACC002,AU1,Logon successful (type=A),10.20.27.13,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-06-20 07:30:17,SLS004,AU1,Logon successful (type=A),10.20.19.212,SESSION_MANAGER,100,SUCCESS
2025-06-20 18:31:11,PUR002,AU1,Logon successful (type=A),10.20.20.210,SESSION_MANAGER,100,SUCCESS
2025-06-23 10:57:40,IT002,AU1,Logon successful (type=A),10.20.3.167,SESSION_MANAGER,100,SUCCESS
2025-06-23 18:04:39,ACC006,AU1,Logon successful (type=A),10.20.17.69,SESSION_MANAGER,100,SUCCESS
2025-06-24 11:26:02,IT001,AU1,Logon successful (type=A),10.20.19.212,SAPMSSY0,100,SUCCESS
2025-06-24 18:34:49,IT004,AU1,Logon successful (type=A),10.20.11.113,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-06-25 08:51:30,MFG003,AU1,Logon successful (type=A),10.20.8.55,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-06-25 19:56:50,IT004,AU1,Logon successful (type=A),10.20.18.107,SAPMSSY0,100,SUCCESS
2025-06-26 10:50:49,ACC003,AU1,Logon successful (type=A),10.20.29.219,SESSION_MANAGER,100,SUCCESS
2025-06-26 15:56:08,MFG001,AU1,Logon successful (type=A),10.20.27.149,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-06-27 08:07:37,SLS003,AU1,Logon successful (type=A),10.20.8.94,SAPLSMTR_NAVIGATION,100,SUCCESS
