# SAP S/4HANA - Transaction MI07
# Report:   Physical Inventory Count Difference List
# Period:   2025-09-26 to 2025-09-28 (semi-annual count)
# Export:   2025-09-29 17:00:22 JST
# Warehouses: WH-A (本社倉庫A) / WH-B (本社倉庫B) / WH-T (東北工場倉庫)

№,倉庫コード,倉庫名,製品コード,製品名,帳簿数量,実地数量,差異数量,標準原価,差異金額
1,WH-A,本社倉庫A,P-30008,燃料インジェクタノズル,423,423,0,5500,0
2,WH-A,本社倉庫A,P-30015,ウェハーチャックベース,706,706,0,8500,0
3,WH-A,本社倉庫A,P-30014,エッチング装置チャンバ部品,2361,2361,0,25800,0
4,WH-A,本社倉庫A,P-30015,ウェハーチャックベース,2393,2393,0,8500,0
5,WH-A,本社倉庫A,P-30001,エンジンピストンピン A型,175,175,0,2850,0
6,WH-A,本社倉庫A,P-30020,検査装置ステージベース,818,818,0,28500,0
7,WH-A,本社倉庫A,P-30027,ロボットアーム外装パネル A,658,654,-4,2800,-11200
8,WH-A,本社倉庫A,P-30015,ウェハーチャックベース,580,580,0,8500,0
9,WH-A,本社倉庫A,P-30011,ウェハー搬送ロボット用シャフト A,1829,1829,0,12500,0
10,WH-A,本社倉庫A,P-30003,バルブステム A型,2274,2274,0,1850,0
11,WH-A,本社倉庫A,P-30015,ウェハーチャックベース,415,415,0,8500,0
12,WH-A,本社倉庫A,P-30006,トランスミッションシャフト,1687,1683,-4,8200,-32800
13,WH-A,本社倉庫A,P-30027,ロボットアーム外装パネル A,915,919,4,2800,11200
14,WH-A,本社倉庫A,P-30014,エッチング装置チャンバ部品,871,871,0,25800,0
15,WH-A,本社倉庫A,P-30006,トランスミッションシャフト,2256,2256,0,8200,0
16,WH-B,本社倉庫B,P-30027,ロボットアーム外装パネル A,207,208,1,2800,2800
17,WH-B,本社倉庫B,P-30006,トランスミッションシャフト,521,521,0,8200,0
18,WH-B,本社倉庫B,P-30022,サスペンションアーム A型,940,936,-4,850,-3400
19,WH-B,本社倉庫B,P-30008,燃料インジェクタノズル,2175,2175,0,5500,0
20,WH-B,本社倉庫B,P-30020,検査装置ステージベース,137,137,0,28500,0
21,WH-B,本社倉庫B,P-30020,検査装置ステージベース,275,275,0,28500,0
22,WH-B,本社倉庫B,P-30006,トランスミッションシャフト,546,546,0,8200,0
23,WH-B,本社倉庫B,P-30011,ウェハー搬送ロボット用シャフト A,1109,1109,0,12500,0
24,WH-B,本社倉庫B,P-30003,バルブステム A型,172,172,0,1850,0
25,WH-B,本社倉庫B,P-30003,バルブステム A型,2037,2037,0,1850,0
26,WH-B,本社倉庫B,P-30022,サスペンションアーム A型,2179,2179,0,850,0
27,WH-B,本社倉庫B,P-30003,バルブステム A型,328,328,0,1850,0
28,WH-B,本社倉庫B,P-30022,サスペンションアーム A型,1335,1335,0,850,0
29,WH-B,本社倉庫B,P-30020,検査装置ステージベース,1082,1082,0,28500,0
30,WH-B,本社倉庫B,P-30014,エッチング装置チャンバ部品,2055,2055,0,25800,0
31,WH-B,本社倉庫B,P-30022,サスペンションアーム A型,2267,2267,0,850,0
32,WH-B,本社倉庫B,P-30008,燃料インジェクタノズル,455,455,0,5500,0
33,WH-B,本社倉庫B,P-30006,トランスミッションシャフト,2111,2111,0,8200,0
34,WH-T,東北工場倉庫,P-30011,ウェハー搬送ロボット用シャフト A,2330,2330,0,12500,0
35,WH-T,東北工場倉庫,P-30011,ウェハー搬送ロボット用シャフト A,306,306,0,12500,0
36,WH-T,東北工場倉庫,P-30003,バルブステム A型,397,397,0,1850,0
37,WH-T,東北工場倉庫,P-30008,燃料インジェクタノズル,313,313,0,5500,0
38,WH-T,東北工場倉庫,P-30020,検査装置ステージベース,1704,1704,0,28500,0
39,WH-T,東北工場倉庫,P-30027,ロボットアーム外装パネル A,551,551,0,2800,0
40,WH-T,東北工場倉庫,P-30008,燃料インジェクタノズル,1413,1413,0,5500,0
41,WH-T,東北工場倉庫,P-30022,サスペンションアーム A型,194,194,0,850,0
42,WH-T,東北工場倉庫,P-30003,バルブステム A型,309,309,0,1850,0
43,WH-T,東北工場倉庫,P-30008,燃料インジェクタノズル,1864,1864,0,5500,0
44,WH-T,東北工場倉庫,P-30027,ロボットアーム外装パネル A,307,307,0,2800,0
45,WH-T,東北工場倉庫,P-30027,ロボットアーム外装パネル A,1280,1280,0,2800,0
46,WH-T,東北工場倉庫,P-30003,バルブステム A型,2032,2032,0,1850,0
47,WH-T,東北工場倉庫,P-30011,ウェハー搬送ロボット用シャフト A,1734,1734,0,12500,0
48,WH-T,東北工場倉庫,P-30020,検査装置ステージベース,171,171,0,28500,0
49,WH-T,東北工場倉庫,P-30015,ウェハーチャックベース,564,564,0,8500,0
50,WH-T,東北工場倉庫,P-30011,ウェハー搬送ロボット用シャフト A,923,923,0,12500,0
51,WH-T,東北工場倉庫,P-30022,サスペンションアーム A型,1550,1550,0,850,0

# Records: 51
