# SAP S/4HANA - Transaction MIGO (Goods Movement)
# Report:   Inventory Adjustment Entries (Movement Type 701/702)
# Period:   2025-09-28 to 2025-09-30
# Export:   2025-10-01 09:00:15 JST

№,差異調整番号,計上日,倉庫,製品コード,製品名,差異数量,差異金額,移動タイプ,仕訳番号,計上者
1,INV-ADJ-2025-09-001,2025-09-30,WH-T,P-30001,エンジンピストンピン A型,2,5700,701,JV-202509-ADJ-0001,ACC004 中村 真理
2,INV-ADJ-2025-09-002,2025-09-30,WH-B,P-30003,バルブステム A型,1,1850,701,JV-202509-ADJ-0002,ACC004 中村 真理
3,INV-ADJ-2025-09-003,2025-09-30,WH-B,P-30001,エンジンピストンピン A型,-3,-8550,702,JV-202509-ADJ-0003,ACC004 中村 真理
4,INV-ADJ-2025-09-004,2025-09-29,WH-A,P-30011,ウェハー搬送ロボット用シャフト A,-3,-37500,702,JV-202509-ADJ-0004,ACC004 中村 真理
5,INV-ADJ-2025-09-005,2025-09-29,WH-A,P-30014,エッチング装置チャンバ部品,2,51600,701,JV-202509-ADJ-0005,ACC004 中村 真理
6,INV-ADJ-2025-09-006,2025-09-29,WH-T,P-30001,エンジンピストンピン A型,-2,-5700,702,JV-202509-ADJ-0006,ACC004 中村 真理
7,INV-ADJ-2025-09-007,2025-09-28,WH-T,P-30014,エッチング装置チャンバ部品,3,77400,701,JV-202509-ADJ-0007,ACC004 中村 真理
8,INV-ADJ-2025-09-008,2025-09-29,WH-B,P-30020,検査装置ステージベース,-5,-142500,702,JV-202509-ADJ-0008,ACC004 中村 真理
9,INV-ADJ-2025-09-009,2025-09-28,WH-T,P-30022,サスペンションアーム A型,5,4250,701,JV-202509-ADJ-0009,ACC004 中村 真理
10,INV-ADJ-2025-09-010,2025-09-29,WH-B,P-30027,ロボットアーム外装パネル A,2,5600,701,JV-202509-ADJ-0010,ACC004 中村 真理
11,INV-ADJ-2025-09-011,2025-09-28,WH-T,P-30014,エッチング装置チャンバ部品,5,129000,701,JV-202509-ADJ-0011,ACC004 中村 真理
12,INV-ADJ-2025-09-012,2025-09-29,WH-T,P-30003,バルブステム A型,1,1850,701,JV-202509-ADJ-0012,ACC004 中村 真理
13,INV-ADJ-2025-09-013,2025-09-28,WH-B,P-30015,ウェハーチャックベース,5,42500,701,JV-202509-ADJ-0013,ACC004 中村 真理
14,INV-ADJ-2025-09-014,2025-09-28,WH-A,P-30022,サスペンションアーム A型,-2,-1700,702,JV-202509-ADJ-0014,ACC004 中村 真理
15,INV-ADJ-2025-09-015,2025-09-28,WH-B,P-30022,サスペンションアーム A型,68,850000,701,JV-202509-ADJ-0015,ACC004 中村 真理
16,INV-ADJ-2025-09-016,2025-09-28,WH-A,P-30022,サスペンションアーム A型,1,850,701,JV-202509-ADJ-0016,ACC004 中村 真理
17,INV-ADJ-2025-09-017,2025-09-28,WH-B,P-30008,燃料インジェクタノズル,2,11000,701,JV-202509-ADJ-0017,ACC004 中村 真理
18,INV-ADJ-2025-09-018,2025-09-28,WH-A,P-30008,燃料インジェクタノズル,-5,-27500,702,JV-202509-ADJ-0018,ACC004 中村 真理
19,INV-ADJ-2025-09-019,2025-09-29,WH-B,P-30022,サスペンションアーム A型,2,1700,701,JV-202509-ADJ-0019,ACC004 中村 真理
20,INV-ADJ-2025-09-020,2025-09-30,WH-A,P-30027,ロボットアーム外装パネル A,3,8400,701,JV-202509-ADJ-0020,ACC004 中村 真理
21,INV-ADJ-2025-09-021,2025-09-30,WH-T,P-30027,ロボットアーム外装パネル A,-2,-5600,702,JV-202509-ADJ-0021,ACC004 中村 真理
22,INV-ADJ-2025-09-022,2025-09-30,WH-A,P-30027,ロボットアーム外装パネル A,-3,-8400,702,JV-202509-ADJ-0022,ACC004 中村 真理
23,INV-ADJ-2025-09-023,2025-09-29,WH-B,P-30008,燃料インジェクタノズル,-5,-27500,702,JV-202509-ADJ-0023,ACC004 中村 真理
24,INV-ADJ-2025-09-024,2025-09-30,WH-B,P-30027,ロボットアーム外装パネル A,5,14000,701,JV-202509-ADJ-0024,ACC004 中村 真理

# Records: 24 (exhaustive)
