# WMS-ERP在庫データ照合バッチ結果
# バッチ名: ZMM_STOCK_RECON
# 実行日時: 2025/11/30 03:15:22
# 比較対象: WMS在庫テーブル vs SAP MB52

製品コード,倉庫コード,ロケーション,WMS在庫数,SAP在庫数,差異,判定,差異原因
P-30001,WH-A,WH-A-7-B,179,179,0,一致,
P-30001,WH-B,WH-B-8-E,79,79,0,一致,
P-30011,WH-A,WH-A-3-E,599,599,0,一致,
P-30021,WH-T,WH-T-3-D,1726,1726,0,一致,
P-30021,WH-T,WH-T-7-B,1184,1184,0,一致,
P-30006,WH-T,WH-T-2-E,1851,1851,0,一致,
P-30003,WH-B,WH-B-3-A,1566,1566,0,一致,
P-30027,WH-A,WH-A-7-B,1346,1346,0,一致,
P-30020,WH-A,WH-A-5-A,2322,2322,0,一致,
P-30027,WH-A,WH-A-3-B,2921,2921,0,一致,
P-30022,WH-B,WH-B-8-E,1646,1646,0,一致,
P-30015,WH-T,WH-T-5-D,818,818,0,一致,
P-30015,WH-A,WH-A-5-A,383,383,0,一致,
P-30020,WH-A,WH-A-7-C,2817,2817,0,一致,
P-30014,WH-A,WH-A-3-C,2737,2737,0,一致,
P-30014,WH-T,WH-T-7-E,2052,2052,0,一致,
P-30021,WH-T,WH-T-6-B,2964,2964,0,一致,
P-30014,WH-B,WH-B-7-C,2163,2163,0,一致,
P-30006,WH-T,WH-T-7-C,538,538,0,一致,
P-30002,WH-B,WH-B-5-E,2435,2434,1,差異あり,同期タイミング差異（日次処理で吸収）
P-30014,WH-B,WH-B-1-C,307,307,0,一致,
P-30003,WH-A,WH-A-8-B,2873,2873,0,一致,
P-30006,WH-B,WH-B-1-D,1817,1817,0,一致,
P-30014,WH-T,WH-T-5-C,672,672,0,一致,
P-30002,WH-T,WH-T-8-C,944,944,0,一致,
P-30014,WH-A,WH-A-1-A,1760,1760,0,一致,
P-30011,WH-A,WH-A-2-D,1344,1344,0,一致,
P-30027,WH-A,WH-A-6-A,336,336,0,一致,
P-30006,WH-T,WH-T-2-A,2388,2388,0,一致,
P-30020,WH-A,WH-A-3-D,905,905,0,一致,

# 件数: 30件 / 一致: 27件 / 差異: 3件（すべて軽微）
# 確認者: 橋本 明 (WHS001) / 確認日: 2025/11/30 08:30
