# SAP S/4HANA - Transaction MMPV (Period Close)
# Report:   Monthly Period Close Execution Log
# Period:   FY2025 (12 months exhaustive)
# Export:   2026-04-10 09:00:00 JST

対象月,月末日,締め実行日,ステータス,実行ユーザ,バッチID,結果
2025-04,2025-04-30,2025-05-05,CLOSED,SAP_BATCH,SAP_MM_CLOSE_202504,完了
2025-05,2025-05-31,2025-06-05,CLOSED,SAP_BATCH,SAP_MM_CLOSE_202505,完了
2025-06,2025-06-30,2025-07-05,CLOSED,SAP_BATCH,SAP_MM_CLOSE_202506,完了
2025-07,2025-07-31,2025-08-05,CLOSED,SAP_BATCH,SAP_MM_CLOSE_202507,完了
2025-08,2025-08-31,2025-09-05,CLOSED,SAP_BATCH,SAP_MM_CLOSE_202508,完了
2025-09,2025-09-30,2025-10-05,CLOSED,SAP_BATCH,SAP_MM_CLOSE_202509,完了
2025-10,2025-10-31,2025-11-05,CLOSED,SAP_BATCH,SAP_MM_CLOSE_202510,完了
2025-11,2025-11-30,2025-12-05,CLOSED,SAP_BATCH,SAP_MM_CLOSE_202511,完了
2025-12,2025-12-31,2026-01-05,CLOSED,SAP_BATCH,SAP_MM_CLOSE_202512,完了
2026-01,2026-01-31,2026-02-05,CLOSED,SAP_BATCH,SAP_MM_CLOSE_202601,完了
2026-02,2026-02-28,2026-03-05,CLOSED,SAP_BATCH,SAP_MM_CLOSE_202602,完了
2026-03,2026-03-31,2026-04-05,CLOSED,SAP_BATCH,SAP_MM_CLOSE_202603,完了

# Records: 12 (exhaustive)
