# SAP S/4HANA - Transaction MB52 (Inventory Status) + Aging Analysis
# Report:   Slow-moving Inventory Valuation Impairment
# Aging rules: 12-18 months = 50% / 18-24 months = 80% / over 24 months = 100%
# Period:   FY2025 Q1 to Q4 (exhaustive)
# Export:   2026-04-05 10:00:00 JST

四半期,基準日,製品コード,製品名,在庫数,帳簿残高,最終出庫日,滞留期間,評価率,評価損額
Q1,2025-06-30,P-30008,燃料インジェクタノズル,132,726000,2023-11-23,19ヶ月,80%,580800
Q1,2025-06-30,P-30020,検査装置ステージベース,1013,28870500,2023-07-19,23ヶ月,80%,23096400
Q1,2025-06-30,P-30011,ウェハー搬送ロボット用シャフト A,398,4975000,2024-04-01,15ヶ月,50%,2487500
Q1,2025-06-30,P-30006,トランスミッションシャフト,160,1312000,2024-04-15,14ヶ月,50%,656000
Q1,2025-06-30,P-30027,ロボットアーム外装パネル A,1653,4628400,2024-01-11,17ヶ月,50%,2314200
Q1,2025-06-30,P-30027,ロボットアーム外装パネル A,101,282800,2024-03-16,15ヶ月,50%,141400
Q2,2025-09-30,P-30006,トランスミッションシャフト,958,7855600,2024-03-08,19ヶ月,80%,6284480
Q2,2025-09-30,P-30011,ウェハー搬送ロボット用シャフト A,458,5725000,2024-01-29,20ヶ月,80%,4580000
Q2,2025-09-30,P-30022,サスペンションアーム A型,1622,1378700,2023-06-02,28ヶ月,100%,1378700
Q2,2025-09-30,P-30014,エッチング装置チャンバ部品,1172,30237600,2023-11-18,22ヶ月,80%,24190080
Q2,2025-09-30,P-30014,エッチング装置チャンバ部品,1289,33256200,2023-10-22,23ヶ月,80%,26604960
Q2,2025-09-30,P-30014,エッチング装置チャンバ部品,1595,41151000,2024-04-17,17ヶ月,50%,20575500
Q3,2025-12-31,P-30006,トランスミッションシャフト,1846,15137200,2024-11-21,13ヶ月,50%,7568600
Q3,2025-12-31,P-30027,ロボットアーム外装パネル A,880,2464000,2024-05-15,19ヶ月,80%,1971200
Q3,2025-12-31,P-30011,ウェハー搬送ロボット用シャフト A,1697,21212500,2024-09-11,15ヶ月,50%,10606250
Q3,2025-12-31,P-30011,ウェハー搬送ロボット用シャフト A,404,5050000,2024-08-22,16ヶ月,50%,2525000
Q3,2025-12-31,P-30006,トランスミッションシャフト,1847,15145400,2024-05-02,20ヶ月,80%,12116320
Q4,2026-03-31,P-30003,バルブステム A型,589,1089650,2024-03-31,24ヶ月,100%,1089650
Q4,2026-03-31,P-30020,検査装置ステージベース,1096,31236000,2024-03-26,24ヶ月,100%,31236000
Q4,2026-03-31,P-30006,トランスミッションシャフト,150,1230000,2023-12-12,28ヶ月,100%,1230000
Q4,2026-03-31,P-30006,トランスミッションシャフト,1037,8503400,2024-08-31,19ヶ月,80%,6802720
Q4,2026-03-31,P-30014,エッチング装置チャンバ部品,1671,43111800,2024-10-19,17ヶ月,50%,21555900
Q4,2026-03-31,P-30027,ロボットアーム外装パネル A,387,1083600,2024-05-11,22ヶ月,80%,866880
Q4,2026-03-31,P-30003,バルブステム A型,854,1579900,2023-12-12,28ヶ月,100%,1579900
Q4,2026-03-31,P-30006,トランスミッションシャフト,98,803600,2024-06-09,22ヶ月,80%,642880

# Records: FY2025 全4四半期（全数）
