# SAP S/4HANA - MM/CO Period Close Log
# Report:   Transaction MMPV + Related Period Close Steps
# Period:   FY2025 (2025/4 - 2026/3)
# Export:   2026-04-10 10:00:00 JST

対象月,ステップID,トランザクション,ステップ名,開始時刻,終了時刻,所要秒数,結果,実行ユーザ,ジョブ番号
2025-04,MM_01,MMPV,在庫評価期間の切替,2025-05-03 19:42:00,2025-05-03 19:43:19,79,SUCCESS,SAP_BATCH,JOB_202504_MM_01
2025-04,MM_02,MMRV,在庫評価期間確認,2025-05-03 19:56:00,2025-05-03 19:56:45,45,SUCCESS,SAP_BATCH,JOB_202504_MM_02
2025-04,MM_03,MB5B,期末在庫集計,2025-05-03 20:07:00,2025-05-03 20:10:50,230,SUCCESS,SAP_BATCH,JOB_202504_MM_03
2025-04,MM_04,MB52,在庫残高検証,2025-05-03 20:18:00,2025-05-03 20:21:26,206,SUCCESS,SAP_BATCH,JOB_202504_MM_04
2025-04,CO_01,KKS1,製品別差異計算,2025-05-03 19:30:00,2025-05-03 19:36:28,388,SUCCESS,SAP_BATCH,JOB_202504_CO_01
2025-04,CO_02,CO88,原価差異配賦（単一レベル）,2025-05-03 19:49:00,2025-05-03 19:55:53,413,SUCCESS,SAP_BATCH,JOB_202504_CO_02
2025-04,CO_03,CON2,連結原価評価,2025-05-03 20:21:00,2025-05-03 20:25:55,295,SUCCESS,SAP_BATCH,JOB_202504_CO_03
2025-04,CO_04,KSU5,間接費配賦実行,2025-05-03 20:13:00,2025-05-03 20:19:15,375,SUCCESS,SAP_BATCH,JOB_202504_CO_04
2025-04,FI_01,F.01,試算表作成,2025-05-03 19:28:00,2025-05-03 19:30:25,145,SUCCESS,SAP_BATCH,JOB_202504_FI_01
2025-04,FI_02,F.13,自動クリアリング,2025-05-03 19:43:00,2025-05-03 19:48:06,306,SUCCESS,SAP_BATCH,JOB_202504_FI_02
2025-05,MM_01,MMPV,在庫評価期間の切替,2025-06-03 19:38:00,2025-06-03 19:39:48,108,SUCCESS,SAP_BATCH,JOB_202505_MM_01
2025-05,MM_02,MMRV,在庫評価期間確認,2025-06-03 20:00:00,2025-06-03 20:00:56,56,SUCCESS,SAP_BATCH,JOB_202505_MM_02
2025-05,MM_03,MB5B,期末在庫集計,2025-06-03 20:10:00,2025-06-03 20:13:49,229,SUCCESS,SAP_BATCH,JOB_202505_MM_03
2025-05,MM_04,MB52,在庫残高検証,2025-06-03 20:39:00,2025-06-03 20:41:51,171,SUCCESS,SAP_BATCH,JOB_202505_MM_04
2025-05,CO_01,KKS1,製品別差異計算,2025-06-03 19:28:00,2025-06-03 19:38:03,603,SUCCESS,SAP_BATCH,JOB_202505_CO_01
2025-05,CO_02,CO88,原価差異配賦（単一レベル）,2025-06-03 19:40:00,2025-06-03 19:46:48,408,SUCCESS,SAP_BATCH,JOB_202505_CO_02
2025-05,CO_03,CON2,連結原価評価,2025-06-03 20:08:00,2025-06-03 20:13:48,348,SUCCESS,SAP_BATCH,JOB_202505_CO_03
2025-05,CO_04,KSU5,間接費配賦実行,2025-06-03 20:13:00,2025-06-03 20:19:13,373,SUCCESS,SAP_BATCH,JOB_202505_CO_04
2025-05,FI_01,F.01,試算表作成,2025-06-03 19:25:00,2025-06-03 19:28:36,216,SUCCESS,SAP_BATCH,JOB_202505_FI_01
2025-05,FI_02,F.13,自動クリアリング,2025-06-03 19:44:00,2025-06-03 19:48:54,294,SUCCESS,SAP_BATCH,JOB_202505_FI_02
2025-06,MM_01,MMPV,在庫評価期間の切替,2025-07-03 19:33:00,2025-07-03 19:34:33,93,SUCCESS,SAP_BATCH,JOB_202506_MM_01
2025-06,MM_02,MMRV,在庫評価期間確認,2025-07-03 19:44:00,2025-07-03 19:44:17,17,SUCCESS,SAP_BATCH,JOB_202506_MM_02
2025-06,MM_03,MB5B,期末在庫集計,2025-07-03 20:23:00,2025-07-03 20:26:45,225,SUCCESS,SAP_BATCH,JOB_202506_MM_03
2025-06,MM_04,MB52,在庫残高検証,2025-07-03 20:39:00,2025-07-03 20:42:20,200,SUCCESS,SAP_BATCH,JOB_202506_MM_04
2025-06,CO_01,KKS1,製品別差異計算,2025-07-03 19:42:00,2025-07-03 19:48:51,411,SUCCESS,SAP_BATCH,JOB_202506_CO_01
2025-06,CO_02,CO88,原価差異配賦（単一レベル）,2025-07-03 19:37:00,2025-07-03 19:43:37,397,SUCCESS,SAP_BATCH,JOB_202506_CO_02
2025-06,CO_03,CON2,連結原価評価,2025-07-03 20:02:00,2025-07-03 20:05:02,182,SUCCESS,SAP_BATCH,JOB_202506_CO_03
2025-06,CO_04,KSU5,間接費配賦実行,2025-07-03 20:17:00,2025-07-03 20:21:54,294,SUCCESS,SAP_BATCH,JOB_202506_CO_04
2025-06,FI_01,F.01,試算表作成,2025-07-03 19:47:00,2025-07-03 19:49:25,145,SUCCESS,SAP_BATCH,JOB_202506_FI_01
2025-06,FI_02,F.13,自動クリアリング,2025-07-03 19:39:00,2025-07-03 19:43:31,271,SUCCESS,SAP_BATCH,JOB_202506_FI_02
2025-07,MM_01,MMPV,在庫評価期間の切替,2025-08-03 19:22:00,2025-08-03 19:22:58,58,SUCCESS,SAP_BATCH,JOB_202507_MM_01
2025-07,MM_02,MMRV,在庫評価期間確認,2025-08-03 19:58:00,2025-08-03 19:58:56,56,SUCCESS,SAP_BATCH,JOB_202507_MM_02
2025-07,MM_03,MB5B,期末在庫集計,2025-08-03 20:00:00,2025-08-03 20:04:51,291,SUCCESS,SAP_BATCH,JOB_202507_MM_03
2025-07,MM_04,MB52,在庫残高検証,2025-08-03 20:19:00,2025-08-03 20:21:39,159,SUCCESS,SAP_BATCH,JOB_202507_MM_04
2025-07,CO_01,KKS1,製品別差異計算,2025-08-03 19:46:00,2025-08-03 19:57:32,692,SUCCESS,SAP_BATCH,JOB_202507_CO_01
2025-07,CO_02,CO88,原価差異配賦（単一レベル）,2025-08-03 19:47:00,2025-08-03 19:52:49,349,SUCCESS,SAP_BATCH,JOB_202507_CO_02
2025-07,CO_03,CON2,連結原価評価,2025-08-03 20:03:00,2025-08-03 20:07:14,254,SUCCESS,SAP_BATCH,JOB_202507_CO_03
2025-07,CO_04,KSU5,間接費配賦実行,2025-08-03 20:22:00,2025-08-03 20:27:57,357,SUCCESS,SAP_BATCH,JOB_202507_CO_04
2025-07,FI_01,F.01,試算表作成,2025-08-03 19:42:00,2025-08-03 19:44:31,151,SUCCESS,SAP_BATCH,JOB_202507_FI_01
2025-07,FI_02,F.13,自動クリアリング,2025-08-03 19:47:00,2025-08-03 19:50:14,194,SUCCESS,SAP_BATCH,JOB_202507_FI_02
2025-08,MM_01,MMPV,在庫評価期間の切替,2025-09-03 19:37:00,2025-09-03 19:37:54,54,SUCCESS,SAP_BATCH,JOB_202508_MM_01
2025-08,MM_02,MMRV,在庫評価期間確認,2025-09-03 20:01:00,2025-09-03 20:01:39,39,SUCCESS,SAP_BATCH,JOB_202508_MM_02
2025-08,MM_03,MB5B,期末在庫集計,2025-09-03 20:06:00,2025-09-03 20:11:13,313,SUCCESS,SAP_BATCH,JOB_202508_MM_03
2025-08,MM_04,MB52,在庫残高検証,2025-09-03 20:36:00,2025-09-03 20:39:13,193,SUCCESS,SAP_BATCH,JOB_202508_MM_04
2025-08,CO_01,KKS1,製品別差異計算,2025-09-03 19:29:00,2025-09-03 19:37:58,538,SUCCESS,SAP_BATCH,JOB_202508_CO_01
2025-08,CO_02,CO88,原価差異配賦（単一レベル）,2025-09-03 19:49:00,2025-09-03 19:54:40,340,SUCCESS,SAP_BATCH,JOB_202508_CO_02
2025-08,CO_03,CON2,連結原価評価,2025-09-03 20:01:00,2025-09-03 20:06:22,322,SUCCESS,SAP_BATCH,JOB_202508_CO_03
