# SAP S/4HANA - Transaction MIGO
# Report:   Goods Receipt History
# Table:    MSEG (material documents)
# Export:   2026-02-13 08:45:20 JST

サンプル№,検収番号,検収タイムスタンプ,発注番号,仕入先コード,品目コード,発注数量,受領数量,検収金額,判定,検収担当
1,REC-2025-5073,2025-04-15 15:24:00,PO-2025-3087,V-20002,RAW-001,101,101,2878500,合格,WHS001 橋本 明
2,REC-2025-5146,2025-04-18 10:53:00,PO-2025-1685,V-20022,RAW-001,199,199,5671500,合格,WHS001 橋本 明
3,REC-2025-5219,2025-04-24 15:52:00,PO-2025-2077,V-20002,RAW-002,64,64,1011200,合格,WHS001 橋本 明
4,REC-2025-5292,2025-05-08 13:01:00,PO-2025-0640,V-20025,RAW-H02,45,45,11250000,合格,WHS001 橋本 明
5,REC-2025-5365,2025-05-22 09:26:00,PO-2025-1060,V-20007,RAW-C01,154,154,5944400,合格,WHS001 橋本 明
6,REC-2025-5438,2025-06-09 14:14:00,PO-2025-2430,V-20001,RAW-T01,169,169,30758000,合格,WHS001 橋本 明
7,REC-2025-5511,2025-06-19 12:09:00,PO-2025-0582,V-20010,RAW-003,144,142,3180800,数量差異,WHS001 橋本 明
8,REC-2025-5584,2025-07-02 09:54:00,PO-2025-1908,V-20004,RAW-001,171,171,4873500,合格,WHS001 橋本 明
9,REC-2025-5657,2025-07-25 16:01:00,PO-2025-0688,V-20022,RAW-T01,40,40,7280000,合格,WHS001 橋本 明
10,REC-2025-5730,2025-08-02 10:36:00,PO-2025-1416,V-20005,RAW-T01,22,22,4004000,合格,WHS001 橋本 明
11,REC-2025-5803,2025-08-24 10:50:00,PO-2025-0149,V-20001,RAW-T01,134,134,24388000,合格,WHS001 橋本 明
12,REC-2025-5876,2025-09-02 10:16:00,PO-2025-2245,V-20023,RAW-C01,43,43,1659800,合格,WHS001 橋本 明
13,REC-2025-5949,2025-09-12 17:55:00,PO-2025-2024,V-20003,RAW-A01,140,140,6412000,合格,WHS001 橋本 明
14,REC-2025-6022,2025-10-02 13:21:00,PO-2025-3081,V-20003,RAW-003,18,18,403200,合格,WHS001 橋本 明
15,REC-2025-6095,2025-10-08 12:34:00,PO-2025-2681,V-20024,RAW-003,139,139,3113600,合格,WHS001 橋本 明
16,REC-2025-6168,2025-11-18 14:32:00,PO-2025-2770,V-20008,RAW-T01,122,122,22204000,合格,WHS001 橋本 明
17,REC-2025-6241,2025-11-22 16:08:00,PO-2025-2438,V-20002,RAW-A01,88,86,3938800,数量差異,WHS001 橋本 明
18,REC-2025-6314,2025-12-01 11:39:00,PO-2025-2347,V-20009,RAW-H01,190,190,73150000,合格,WHS001 橋本 明
19,REC-2025-6387,2025-12-05 13:33:00,PO-2025-3141,V-20011,RAW-H01,77,77,29645000,合格,WHS001 橋本 明
20,REC-2025-6460,2026-01-04 09:33:00,PO-2025-2606,V-20008,RAW-002,59,59,932200,合格,WHS001 橋本 明
21,REC-2025-6533,2026-01-25 14:01:00,PO-2025-3286,V-20023,RAW-H01,104,104,40040000,合格,WHS001 橋本 明
22,REC-2025-6606,2026-02-23 14:55:00,PO-2025-0558,V-20003,RAW-C01,138,138,5326800,合格,WHS001 橋本 明
23,REC-2025-6679,2026-02-26 09:51:00,PO-2025-1912,V-20015,RAW-C01,48,48,1852800,合格,WHS001 橋本 明
24,REC-2025-6752,2026-03-02 17:58:00,PO-2025-0236,V-20006,RAW-002,131,131,2069800,合格,WHS001 橋本 明
25,REC-2025-6825,2026-03-05 13:07:00,PO-2025-1433,V-20009,RAW-C01,123,123,4747800,合格,WHS001 橋本 明

# Records: 25
