# SAP S/4HANA - Transaction MIRO (Invoice Verification)
# Report:   3-way Matching Result Log
# Tolerance: +/- JPY 10,000 OR +/- 5.0%
# Export:   2026-02-13 10:20:30 JST

実行タイムスタンプ,サンプル№,請求書番号,請求日,発注番号,検収番号,仕入先コード,PO金額,検収金額,請求金額,差異,判定
2025-04-12 02:00:00,1,INV-V-202504-0007,2025-04-12,PO-2025-0924,REC-2025-5646,V-20003,9426179,9426179,9426179,0,OK
2025-04-16 02:00:00,2,INV-V-202504-0014,2025-04-16,PO-2025-2257,REC-2025-5668,V-20004,3352422,3352422,3352422,0,OK
2025-04-23 02:00:00,3,INV-V-202504-0021,2025-04-23,PO-2025-2108,REC-2025-5656,V-20008,5016516,5016516,5016516,0,OK
2025-05-16 02:00:00,4,INV-V-202505-0028,2025-05-16,PO-2025-0413,REC-2025-2614,V-20009,2770142,2770142,2770142,0,OK
2025-05-17 02:00:00,5,INV-V-202505-0035,2025-05-17,PO-2025-0984,REC-2025-4821,V-20005,1069162,1069162,1069162,0,OK
2025-06-02 02:00:00,6,INV-V-202506-0042,2025-06-02,PO-2025-2312,REC-2025-3199,V-20006,6502635,6502635,6502635,0,OK
2025-06-26 02:00:00,7,INV-V-202506-0049,2025-06-26,PO-2025-2920,REC-2025-8537,V-20001,208565,208565,208565,0,OK
2025-07-01 02:00:00,8,INV-V-202507-0056,2025-07-01,PO-2025-2011,REC-2025-5592,V-20012,2546775,2546775,2546775,0,OK
2025-07-13 02:00:00,9,INV-V-202507-0063,2025-07-13,PO-2025-2327,REC-2025-3021,V-20007,3054439,3054439,3054439,0,OK
2025-08-01 02:00:00,10,INV-V-202508-0070,2025-08-01,PO-2025-0850,REC-2025-3880,V-20011,4255097,4255097,4255097,0,OK
2025-08-15 02:00:00,11,INV-V-202508-0077,2025-08-15,PO-2025-1596,REC-2025-4997,V-20022,9600001,9600001,9600001,0,OK
2025-09-13 02:00:00,12,INV-V-202509-0084,2025-09-13,PO-2025-2463,REC-2025-1496,V-20002,3782831,3782831,3782831,0,OK
2025-09-22 02:00:00,13,INV-V-202509-0091,2025-09-22,PO-2025-2373,REC-2025-3562,V-20015,8161483,8161483,8161483,0,OK
2025-10-20 02:00:00,14,INV-V-202510-0098,2025-10-20,PO-2025-2445,REC-2025-3390,V-20024,5419041,5419041,5419041,0,OK
2025-10-24 02:00:00,15,INV-V-202510-0105,2025-10-24,PO-2025-2568,REC-2025-5547,V-20003,5667155,5667155,5667155,0,OK
2025-11-07 02:00:00,16,INV-V-202511-0112,2025-11-07,PO-2025-1644,REC-2025-8864,V-20004,6812997,6812997,6812997,0,OK
2025-11-08 02:00:00,17,INV-V-202511-0119,2025-11-08,PO-2025-0622,REC-2025-4769,V-20008,5541618,5541618,5541618,0,OK
2025-12-13 02:00:00,18,INV-V-202512-0126,2025-12-13,PO-2025-0747,REC-2025-5355,V-20004,7607002,7607002,7607002,0,OK
2025-12-23 02:00:00,19,INV-V-202512-0133,2025-12-23,PO-2025-0733,REC-2025-6979,V-20008,3908994,3908994,3905994,-3000,ALLOWED_TOLERANCE
2026-01-07 02:00:00,20,INV-V-202601-0140,2026-01-07,PO-2025-2075,REC-2025-1900,V-20002,8559019,8559019,8559019,0,OK
2026-01-20 02:00:00,21,INV-V-202601-0147,2026-01-20,PO-2025-0203,REC-2025-8825,V-20005,1891711,1891711,1891711,0,OK
2026-02-11 02:00:00,22,INV-V-202602-0154,2026-02-11,PO-2025-1810,REC-2025-2224,V-20012,3512206,3512206,3512206,0,OK
2026-02-28 02:00:00,23,INV-V-202602-0161,2026-02-28,PO-2025-2389,REC-2025-7748,V-20008,6016866,6016866,6016866,0,OK
2026-03-01 02:00:00,24,INV-V-202603-0168,2026-03-01,PO-2025-2132,REC-2025-6207,V-20009,9249626,9249626,9249626,0,OK
2026-03-08 02:00:00,25,INV-V-202603-0175,2026-03-08,PO-2025-0288,REC-2025-4026,V-20015,7036640,7036640,7186640,150000,EXCEPTION_OVER_TOLERANCE

# Records: 25
