# SAP S/4HANA - FY2025 Year-end Accrual Detail
# Source:   MIGO (receipts) + MIRO (invoices) + ACC-JV (manual accruals)
# Period:   2026-03-20 to 2026-03-31 (receipts without invoice)
# Export:   2026-04-05 14:00:15 JST

№,検収番号,検収日,仕入先コード,仕入先名,検収金額,請求書到着状況,未払計上額,計上仕訳番号
1,REC-2026-5001,2026-03-29,V-20025,サンプル仕入先T社,6721267,ARRIVED,6721267,JV-ACC-202603-0001
2,REC-2026-5002,2026-03-30,V-20003,サンプル仕入先C社,6397328,ARRIVED,6397328,JV-ACC-202603-0002
3,REC-2026-5003,2026-03-27,V-20021,サンプル仕入先P社,8711882,PENDING,8711882,JV-ACC-202603-0003
4,REC-2026-5004,2026-03-27,V-20009,サンプル仕入先I社,8364302,ARRIVED,8364302,JV-ACC-202603-0004
5,REC-2026-5005,2026-03-29,V-20022,サンプル仕入先Q社,13599690,PENDING,13599690,JV-ACC-202603-0005
6,REC-2026-5006,2026-03-24,V-20025,サンプル仕入先T社,5113252,ARRIVED,5113252,JV-ACC-202603-0006
7,REC-2026-5007,2026-03-23,V-20012,サンプル仕入先L社,8762473,ARRIVED,8762473,JV-ACC-202603-0007
8,REC-2026-5008,2026-03-23,V-20023,サンプル仕入先R社,14234988,ARRIVED,14234988,JV-ACC-202603-0008
9,REC-2026-5009,2026-03-31,V-20007,サンプル仕入先G社,12937785,ARRIVED,12937785,JV-ACC-202603-0009
10,REC-2026-5010,2026-03-29,V-20024,サンプル仕入先S社,1662657,ARRIVED,1662657,JV-ACC-202603-0010
11,REC-2026-5011,2026-03-27,V-20005,サンプル仕入先E社,14692422,ARRIVED,14692422,JV-ACC-202603-0011
12,REC-2026-5012,2026-03-31,V-20024,サンプル仕入先S社,3203211,ARRIVED,3203211,JV-ACC-202603-0012
13,REC-2026-5013,2026-03-31,V-20012,サンプル仕入先L社,14119210,ARRIVED,14119210,JV-ACC-202603-0013
14,REC-2026-5014,2026-03-20,V-20001,サンプル仕入先A社,5666495,ARRIVED,5666495,JV-ACC-202603-0014
15,REC-2026-5015,2026-03-23,V-20002,サンプル仕入先B社,13804363,ARRIVED,13804363,JV-ACC-202603-0015
16,REC-2026-5016,2026-03-22,V-20001,サンプル仕入先A社,2373729,ARRIVED,2373729,JV-ACC-202603-0016
17,REC-2026-5017,2026-03-20,V-20009,サンプル仕入先I社,10461422,ARRIVED,10461422,JV-ACC-202603-0017
18,REC-2026-5018,2026-03-23,V-20010,サンプル仕入先J社,1071833,ARRIVED,1071833,JV-ACC-202603-0018
19,REC-2026-5019,2026-03-21,V-20007,サンプル仕入先G社,6243284,ARRIVED,6243284,JV-ACC-202603-0019
20,REC-2026-5020,2026-03-24,V-20006,サンプル仕入先F社,2068148,PENDING,2068148,JV-ACC-202603-0020
21,REC-2026-5021,2026-03-25,V-20008,サンプル仕入先H社,12383045,ARRIVED,12383045,JV-ACC-202603-0021
22,REC-2026-5022,2026-03-20,V-20008,サンプル仕入先H社,6642040,ARRIVED,6642040,JV-ACC-202603-0022
23,REC-2026-5023,2026-03-23,V-20012,サンプル仕入先L社,13549498,PENDING,13549498,JV-ACC-202603-0023
24,REC-2026-5024,2026-03-20,V-20001,サンプル仕入先A社,14894963,ARRIVED,14894963,JV-ACC-202603-0024
25,REC-2026-5025,2026-03-26,V-20005,サンプル仕入先E社,2128693,ARRIVED,2128693,JV-ACC-202603-0025
26,REC-2026-5026,2026-03-20,V-20021,サンプル仕入先P社,4565721,ARRIVED,4565721,JV-ACC-202603-0026
27,REC-2026-5027,2026-03-27,V-20005,サンプル仕入先E社,3342519,PENDING,3342519,JV-ACC-202603-0027
28,REC-2026-5028,2026-03-24,V-20006,サンプル仕入先F社,683148,ARRIVED,683148,JV-ACC-202603-0028
29,REC-2026-5029,2026-03-26,V-20024,サンプル仕入先S社,9001520,ARRIVED,9001520,JV-ACC-202603-0029
30,REC-2026-5030,2026-03-30,V-20011,サンプル仕入先K社,8889000,PENDING,8889000,JV-ACC-202603-0030
31,REC-2026-5031,2026-03-27,V-20021,サンプル仕入先P社,835552,PENDING,835552,JV-ACC-202603-0031
32,REC-2026-5032,2026-03-26,V-20021,サンプル仕入先P社,4941617,ARRIVED,4941617,JV-ACC-202603-0032
33,REC-2026-5033,2026-03-21,V-20025,サンプル仕入先T社,9425873,ARRIVED,9425873,JV-ACC-202603-0033
34,REC-2026-5034,2026-03-22,V-20023,サンプル仕入先R社,14311653,ARRIVED,14311653,JV-ACC-202603-0034
35,REC-2026-5035,2026-03-25,V-20005,サンプル仕入先E社,4109856,PENDING,4109856,JV-ACC-202603-0035
36,REC-2026-5036,2026-03-29,V-20009,サンプル仕入先I社,9467681,ARRIVED,9467681,JV-ACC-202603-0036
