# SAP S/4HANA 与信管理モジュール / 与信チェックログ
# 出力日時: 2025/12/01 09:15:22
# 対象期間: 2025/11/01 - 2025/11/30
# 出力者: ACC002 高橋 美咲

タイムスタンプ,受注番号,顧客コード,受注金額,既存売掛金,与信限度額,判定,保留解除ユーザ,保留解除日時
2025-11-14 09:52:52,ORD-2025-1022,C-10013,33135824,105038724,180000000,PASS,,
2025-11-12 10:55:27,ORD-2025-1044,C-10012,26699998,164898426,250000000,PASS,,
2025-11-12 10:33:47,ORD-2025-1066,C-10017,2953886,26022853,60000000,PASS,,
2025-11-03 12:53:21,ORD-2025-1088,C-10014,598655,111463631,120000000,PASS,,
2025-11-23 15:00:00,ORD-2025-1110,C-10006,2933154,57932095,80000000,PASS,,
2025-11-04 18:11:47,ORD-2025-1132,C-10016,1475683,36080021,80000000,PASS,,
2025-11-28 16:13:47,ORD-2025-1154,C-10023,44103452,71633491,80000000,HOLD,SLS001,2025-11-28 21:13:47
2025-11-02 11:19:55,ORD-2025-1176,C-10001,38469803,261139234,500000000,PASS,,
2025-11-13 14:00:03,ORD-2025-1198,C-10002,2366942,243821630,300000000,PASS,,
2025-11-25 14:13:43,ORD-2025-1220,C-10022,1009628,106045135,150000000,PASS,,
2025-11-11 18:26:59,ORD-2025-1242,C-10023,23011565,31782292,80000000,PASS,,
2025-11-16 11:57:21,ORD-2025-1264,C-10011,5743796,159037579,400000000,PASS,,
2025-11-03 17:44:00,ORD-2025-1286,C-10005,513358,84292107,100000000,PASS,,
2025-11-26 10:16:32,ORD-2025-1308,C-10016,777312,36649924,80000000,PASS,,
2025-11-29 11:01:23,ORD-2025-1330,C-10014,1238032,80588197,120000000,PASS,,
2025-11-27 17:57:15,ORD-2025-1352,C-10017,14607875,22685675,60000000,PASS,,
2025-11-21 16:47:12,ORD-2025-1374,C-10025,24061424,26432241,30000000,HOLD,SLS001,2025-11-22 03:47:12
2025-11-19 13:08:34,ORD-2025-1396,C-10022,748313,80486127,150000000,PASS,,
2025-11-17 17:36:06,ORD-2025-1418,C-10003,9227993,157010959,200000000,PASS,,
2025-11-22 14:25:19,ORD-2025-1440,C-10018,8231952,13309472,40000000,PASS,,
2025-11-15 09:14:22,ORD-2025-1462,C-10005,508535,37218955,100000000,PASS,,
2025-11-28 12:55:25,ORD-2025-1484,C-10021,1262672,177179194,200000000,PASS,,
2025-11-24 14:54:24,ORD-2025-1506,C-10003,9180819,84663923,200000000,PASS,,
2025-11-03 11:52:19,ORD-2025-1528,C-10011,1896000,158974555,400000000,PASS,,
2025-11-17 09:50:21,ORD-2025-1550,C-10016,1839444,49201146,80000000,PASS,,
2025-11-19 12:16:36,ORD-2025-1572,C-10023,2005308,68526535,80000000,PASS,,
2025-11-03 10:33:13,ORD-2025-1594,C-10023,42523778,24791121,80000000,PASS,,
2025-11-17 11:37:34,ORD-2025-1616,C-10014,5746618,70289901,120000000,PASS,,
2025-11-12 09:55:24,ORD-2025-1638,C-10015,14039886,60565599,100000000,PASS,,
2025-11-02 14:20:24,ORD-2025-1660,C-10013,18806335,66849588,180000000,PASS,,
2025-11-04 10:39:11,ORD-2025-1682,C-10002,29528433,108808853,300000000,PASS,,
2025-11-16 16:03:27,ORD-2025-1704,C-10011,8528464,272915807,400000000,PASS,,
2025-11-08 16:59:11,ORD-2025-1726,C-10007,2822360,36864770,50000000,PASS,,
2025-11-15 09:41:12,ORD-2025-1748,C-10003,792548,94482918,200000000,PASS,,
2025-11-08 12:17:14,ORD-2025-1770,C-10021,44979765,112461022,200000000,PASS,,
2025-11-08 16:55:53,ORD-2025-1792,C-10022,17021875,134075067,150000000,HOLD,SLS001,2025-11-09 14:55:53
2025-11-12 12:25:31,ORD-2025-1814,C-10003,10810760,92398770,200000000,PASS,,
2025-11-10 15:36:07,ORD-2025-1836,C-10006,13349179,53656368,80000000,PASS,,
2025-11-21 11:40:00,ORD-2025-1858,C-10022,3398543,112647224,150000000,PASS,,
2025-11-07 13:01:46,ORD-2025-1880,C-10016,2039412,28798603,80000000,PASS,,
2025-11-26 12:16:58,ORD-2025-1902,C-10023,25155923,54265827,80000000,PASS,,
2025-11-26 11:21:13,ORD-2025-1924,C-10005,1785585,43657434,100000000,PASS,,
2025-11-13 18:25:50,ORD-2025-1946,C-10018,33789156,19344212,40000000,HOLD,SLS001,2025-11-13 21:25:50
2025-11-22 16:54:44,ORD-2025-1968,C-10021,18188025,72782640,200000000,PASS,,
2025-11-29 10:17:42,ORD-2025-1990,C-10014,2231085,112545947,120000000,PASS,,
2025-11-23 10:47:27,ORD-2025-2012,C-10011,25436939,123723902,400000000,PASS,,
2025-11-06 13:58:09,ORD-2025-2034,C-10016,36642908,55243059,80000000,HOLD,SLS001,2025-11-07 03:58:09
2025-11-02 14:15:44,ORD-2025-2056,C-10025,38279995,16647189,30000000,HOLD,SLS001,2025-11-02 19:15:44
2025-11-20 14:55:44,ORD-2025-2078,C-10024,12185154,29671277,50000000,PASS,,
2025-11-01 16:48:23,ORD-2025-2100,C-10011,30128191,252135219,400000000,PASS,,
2025-11-16 13:52:38,ORD-2025-2122,C-10011,2242430,168285559,400000000,PASS,,
2025-11-02 10:49:24,ORD-2025-2144,C-10005,28449153,43979701,100000000,PASS,,
2025-11-04 14:16:37,ORD-2025-2166,C-10011,33581758,373401716,400000000,HOLD,SLS001,2025-11-05 00:16:37
2025-11-12 14:25:01,ORD-2025-2188,C-10024,12876873,35855778,50000000,PASS,,
2025-11-08 13:06:10,ORD-2025-2210,C-10013,755150,115755415,180000000,PASS,,
2025-11-23 13:13:54,ORD-2025-2232,C-10012,20342069,223311623,250000000,PASS,,
2025-11-26 12:45:02,ORD-2025-2254,C-10005,3600360,57584334,100000000,PASS,,
2025-11-14 09:11:09,ORD-2025-2276,C-10022,2667119,79752957,150000000,PASS,,
2025-11-03 11:01:04,ORD-2025-2298,C-10015,1054252,49144966,100000000,PASS,,
2025-11-18 14:25:04,ORD-2025-2320,C-10014,46710308,49227396,120000000,PASS,,
2025-11-23 11:24:01,ORD-2025-2342,C-10018,24149737,16016775,40000000,HOLD,SLS001,2025-11-24 11:24:01
2025-11-20 13:59:44,ORD-2025-2364,C-10012,15153307,166750571,250000000,PASS,,
2025-11-23 15:35:12,ORD-2025-2386,C-10016,4828483,65761883,80000000,PASS,,
2025-11-06 10:42:53,ORD-2025-2408,C-10024,957459,46044260,50000000,PASS,,
2025-11-24 09:28:40,ORD-2025-2430,C-10004,2195226,96088890,150000000,PASS,,
2025-11-08 11:40:06,ORD-2025-2452,C-10017,1117785,44177263,60000000,PASS,,
2025-11-22 15:35:50,ORD-2025-2474,C-10024,6581882,25066505,50000000,PASS,,
2025-11-10 18:27:28,ORD-2025-2496,C-10017,4763971,26584907,60000000,PASS,,
2025-11-02 14:11:32,ORD-2025-2518,C-10007,1417713,19290610,50000000,PASS,,
2025-11-21 09:52:56,ORD-2025-2540,C-10004,3241279,56898059,150000000,PASS,,
2025-11-18 13:53:52,ORD-2025-2562,C-10001,13207096,356655312,500000000,PASS,,
2025-11-01 09:41:26,ORD-2025-2584,C-10004,1796585,82400839,150000000,PASS,,
2025-11-05 16:20:30,ORD-2025-2606,C-10005,9296184,85601751,100000000,PASS,,
2025-11-14 14:45:59,ORD-2025-2628,C-10011,3232337,150809514,400000000,PASS,,
2025-11-23 16:57:52,ORD-2025-2650,C-10015,1002446,64191182,100000000,PASS,,
2025-11-01 10:25:41,ORD-2025-2672,C-10014,2839606,94480575,120000000,PASS,,
2025-11-14 09:09:07,ORD-2025-2694,C-10006,2099905,61826074,80000000,PASS,,
2025-11-22 09:12:37,ORD-2025-2716,C-10018,37226411,22135756,40000000,HOLD,SLS001,2025-11-22 18:12:37
2025-11-14 09:11:41,ORD-2025-2738,C-10004,10433073,119968820,150000000,PASS,,
2025-11-15 17:52:41,ORD-2025-2760,C-10004,2672411,132900875,150000000,PASS,,
2025-11-03 11:51:09,ORD-2025-2782,C-10018,10354460,34311099,40000000,HOLD,SLS001,2025-11-03 22:51:09
2025-11-27 14:26:35,ORD-2025-2804,C-10023,7430021,28146854,80000000,PASS,,
2025-11-26 12:31:30,ORD-2025-2826,C-10024,4493088,32674552,50000000,PASS,,
2025-11-26 16:22:35,ORD-2025-2848,C-10013,8923779,62730681,180000000,PASS,,
2025-11-15 15:29:50,ORD-2025-2870,C-10018,2909113,29839348,40000000,PASS,,
2025-11-08 14:29:20,ORD-2025-2892,C-10017,2206511,45728101,60000000,PASS,,
2025-11-24 16:54:48,ORD-2025-2914,C-10001,1518391,271301062,500000000,PASS,,
2025-11-28 09:12:51,ORD-2025-2936,C-10001,41596427,360168769,500000000,PASS,,
2025-11-07 14:20:53,ORD-2025-2958,C-10014,7107742,105009423,120000000,PASS,,
2025-11-01 12:14:56,ORD-2025-2980,C-10024,1472144,45677385,50000000,PASS,,
2025-11-23 16:08:08,ORD-2025-3002,C-10018,38663325,17908032,40000000,HOLD,SLS001,2025-11-23 17:08:08
2025-11-04 11:08:55,ORD-2025-3024,C-10004,44165979,140112555,150000000,HOLD,SLS001,2025-11-04 22:08:55
2025-11-25 17:22:13,ORD-2025-3046,C-10016,10155367,34776613,80000000,PASS,,
2025-11-06 11:35:23,ORD-2025-3068,C-10004,1021432,78212345,150000000,PASS,,
2025-11-25 12:32:54,ORD-2025-3090,C-10024,3493318,30831753,50000000,PASS,,
2025-11-26 09:56:20,ORD-2025-3112,C-10022,39543303,114133609,150000000,HOLD,SLS001,2025-11-26 17:56:20
2025-11-01 10:45:38,ORD-2025-3134,C-10006,9072281,48069455,80000000,PASS,,
2025-11-02 17:04:36,ORD-2025-3156,C-10024,29678179,28836066,50000000,HOLD,SLS001,2025-11-03 04:04:36
2025-11-17 09:37:06,ORD-2025-3178,C-10023,1342805,30948211,80000000,PASS,,
2025-11-19 12:48:57,ORD-2025-3200,C-10018,5758990,36706330,40000000,HOLD,SLS001,2025-11-19 17:48:57
2025-11-12 12:28:59,ORD-2025-3222,C-10017,8064878,21280840,60000000,PASS,,
2025-11-08 15:54:11,ORD-2025-3244,C-10023,2942577,55527133,80000000,PASS,,
2025-11-24 13:31:00,ORD-2025-3266,C-10014,2295035,106394214,120000000,PASS,,
2025-11-11 12:34:44,ORD-2025-3288,C-10001,538085,201794075,500000000,PASS,,
2025-11-22 13:25:58,ORD-2025-3310,C-10022,10600957,82098853,150000000,PASS,,
2025-11-29 10:36:36,ORD-2025-3332,C-10017,22280232,39748758,60000000,HOLD,SLS001,2025-11-29 12:36:36
2025-11-29 11:20:03,ORD-2025-3354,C-10007,29178851,35479446,50000000,HOLD,SLS001,2025-11-29 15:20:03
2025-11-21 15:09:42,ORD-2025-3376,C-10015,2090245,51317672,100000000,PASS,,
2025-11-15 10:19:00,ORD-2025-3398,C-10007,9285972,26768698,50000000,PASS,,
2025-11-21 09:28:27,ORD-2025-3420,C-10022,2531590,137954715,150000000,PASS,,
2025-11-17 18:48:06,ORD-2025-3442,C-10016,40145339,46646616,80000000,HOLD,SLS001,2025-11-18 13:48:06
2025-11-12 15:04:59,ORD-2025-3464,C-10014,15240079,76702876,120000000,PASS,,
2025-11-01 12:26:34,ORD-2025-3486,C-10003,12182158,162662617,200000000,PASS,,
2025-11-29 13:00:31,ORD-2025-3508,C-10006,34354211,33451791,80000000,PASS,,
2025-11-28 10:51:55,ORD-2025-3530,C-10003,33124251,189458304,200000000,HOLD,SLS001,2025-11-28 11:51:55
2025-11-13 17:56:48,ORD-2025-3552,C-10016,1688073,73864138,80000000,PASS,,
2025-11-21 10:14:48,ORD-2025-3574,C-10005,507516,71921478,100000000,PASS,,
2025-11-25 14:41:20,ORD-2025-3596,C-10003,3347907,177911024,200000000,PASS,,
2025-11-15 12:16:34,ORD-2025-3618,C-10021,1368591,179400565,200000000,PASS,,

# 件数: 119件 / PASS: 約95件 / HOLD: 約24件
