# SAP FI / 売上計上仕訳RAW明細
# トランザクション: FBL3N (勘定科目別明細)
# 対象勘定: 1220 売掛金 / 5100 売上高
# 出力日時: 2026/02/11 09:25:42 JST
# 出力者: ACC004 中村 真理（経理部主任）
# 抽出条件: 監査依頼IA-REQ-2026-002 指定の25件売上仕訳
#
# 【監査人注】売上計上は「借方 売掛金 / 貸方 売上高」の2行で構成される。
# SAP自動連動仕訳（出荷実績から起動）。Field Status Group: ZSDxx

サンプル№,仕訳番号,計上日,転記日,伝票タイプ,勘定科目コード,勘定科目名,借方/貸方,金額(円),顧客コード,受注番号,出荷番号,摘要,起票者
1,JV-202504-0163,2025-04-08,2025-04-08,RV,1220,売掛金,借方,3750000,C-10006,ORD-2025-0927,SH-202504-0147,出荷連動自動仕訳 SH-202504-0147,SAP_BATCH
1,JV-202504-0163,2025-04-08,2025-04-08,RV,5100,売上高,貸方,3750000,C-10006,ORD-2025-0927,SH-202504-0147,出荷連動自動仕訳 SH-202504-0147,SAP_BATCH
2,JV-202504-0234,2025-04-23,2025-04-23,RV,1220,売掛金,借方,625000,C-10023,ORD-2025-0918,SH-202504-0028,出荷連動自動仕訳 SH-202504-0028,SAP_BATCH
2,JV-202504-0234,2025-04-23,2025-04-23,RV,5100,売上高,貸方,625000,C-10023,ORD-2025-0918,SH-202504-0028,出荷連動自動仕訳 SH-202504-0028,SAP_BATCH
3,JV-202505-0245,2025-05-12,2025-05-12,RV,1220,売掛金,借方,420000,C-10014,ORD-2025-1099,SH-202505-0178,出荷連動自動仕訳 SH-202505-0178,SAP_BATCH
3,JV-202505-0245,2025-05-12,2025-05-12,RV,5100,売上高,貸方,420000,C-10014,ORD-2025-1099,SH-202505-0178,出荷連動自動仕訳 SH-202505-0178,SAP_BATCH
4,JV-202505-0197,2025-05-27,2025-05-27,RV,1220,売掛金,借方,38500000,C-10004,ORD-2025-3010,SH-202505-0172,出荷連動自動仕訳 SH-202505-0172,SAP_BATCH
4,JV-202505-0197,2025-05-27,2025-05-27,RV,5100,売上高,貸方,38500000,C-10004,ORD-2025-3010,SH-202505-0172,出荷連動自動仕訳 SH-202505-0172,SAP_BATCH
5,JV-202506-0113,2025-06-10,2025-06-10,RV,1220,売掛金,借方,18750000,C-10003,ORD-2025-1211,SH-202506-0180,出荷連動自動仕訳 SH-202506-0180,SAP_BATCH
5,JV-202506-0113,2025-06-10,2025-06-10,RV,5100,売上高,貸方,18750000,C-10003,ORD-2025-1211,SH-202506-0180,出荷連動自動仕訳 SH-202506-0180,SAP_BATCH
