# SAP FI - Transaction F-28 / Customer Clearing History
# Export:   2026-02-11 10:30:42 JST
# Filter:   25 payment receipts under audit IA-REQ-2026-004
# Records:  25

処理タイムスタンプ,サンプル№,入金日,入金額,顧客コード,消込対象請求書,消込金額,差額,消込方法,処理ユーザ
2025-04-12 10:01:00,1,2025-04-12,38904000,C-10003,INV-202503-0052,38904000,0,AUTO,SAP_AUTO_CLEAR
2025-04-16 14:12:00,2,2025-04-16,10006000,C-10024,INV-202503-0049,10006000,0,AUTO,SAP_AUTO_CLEAR
2025-04-23 15:09:00,3,2025-04-23,17042000,C-10022,INV-202503-0074,17042000,0,AUTO,SAP_AUTO_CLEAR
2025-05-16 12:22:00,4,2025-05-16,20686000,C-10021,INV-202504-0040,20686000,0,AUTO,SAP_AUTO_CLEAR
2025-05-17 13:54:00,5,2025-05-17,15225000,C-10003,INV-202504-0033,15225000,0,MANUAL,石井 健 (ACC006)
2025-06-02 16:40:00,6,2025-06-02,5476000,C-10025,INV-202505-0056,5476000,0,AUTO,SAP_AUTO_CLEAR
2025-06-26 15:51:00,7,2025-06-26,12711000,C-10018,INV-202505-0097,12711000,0,AUTO,SAP_AUTO_CLEAR
2025-07-01 15:02:00,8,2025-07-01,20020000,C-10023,INV-202506-0007,20020000,0,AUTO,SAP_AUTO_CLEAR
2025-07-13 14:19:00,9,2025-07-13,26378000,C-10001,INV-202506-0036,26376500,-1500,AUTO,SAP_AUTO_CLEAR
2025-08-01 10:35:00,10,2025-08-01,39625000,C-10018,INV-202507-0052,39625000,0,AUTO,SAP_AUTO_CLEAR
2025-08-15 09:21:00,11,2025-08-15,38494000,C-10006,INV-202507-0064,38494000,0,AUTO,SAP_AUTO_CLEAR
2025-09-13 13:18:00,12,2025-09-13,18220000,C-10014,INV-202508-0047,18220000,0,MANUAL,石井 健 (ACC006)
2025-09-22 10:01:00,13,2025-09-22,33183000,C-10015,INV-202508-0144,33183000,0,AUTO,SAP_AUTO_CLEAR
2025-10-20 11:32:00,14,2025-10-20,34747000,C-10015,INV-202509-0010,34747000,0,AUTO,SAP_AUTO_CLEAR
2025-10-24 09:12:00,15,2025-10-24,16331000,C-10025,INV-202509-0148,16331000,0,AUTO,SAP_AUTO_CLEAR
2025-11-07 10:11:00,16,2025-11-07,28824000,C-10002,INV-202510-0122,28824000,0,AUTO,SAP_AUTO_CLEAR
2025-11-08 11:10:00,17,2025-11-08,22990000,C-10023,INV-202510-0130,22990000,0,AUTO,SAP_AUTO_CLEAR
2025-12-13 11:44:00,18,2025-12-13,21586000,C-10013,INV-202511-0017,21586000,0,AUTO,SAP_AUTO_CLEAR
2025-12-23 10:10:00,19,2025-12-23,39252000,C-10014,INV-202511-0031,39252000,0,AUTO,SAP_AUTO_CLEAR
2026-01-07 14:10:00,20,2026-01-07,27307000,C-10016,INV-202612-0062,27307000,0,AUTO,SAP_AUTO_CLEAR
2026-01-20 16:44:00,21,2026-01-20,10566000,C-10014,INV-202612-0118,10566000,0,AUTO,SAP_AUTO_CLEAR
2026-02-11 16:42:00,22,2026-02-11,31628000,C-10004,INV-202601-0041,31628000,0,AUTO,SAP_AUTO_CLEAR
2026-02-28 15:40:00,23,2026-02-28,18021000,C-10023,INV-202601-0057,18021000,0,AUTO,SAP_AUTO_CLEAR
2026-03-01 11:13:00,24,2026-03-01,5094000,C-10005,INV-202602-0128,5094000,0,MANUAL,石井 健 (ACC006)
2026-03-08 13:10:00,25,2026-03-08,9373000,C-10021,INV-202602-0033,9373000,0,AUTO,SAP_AUTO_CLEAR

# End of export
