ÉfÅ[É^ãÊï™,ì˙ït,å˚ç¿î‘çÜ,ì¸ã‡ã‡äz,êUçûàÀóäêlñº,ìEóv,éÊàµéxìX
3,20251102,1234567,15800000,SAMPLE KOKYAKU A,INV-202510-0012,HONTEN
3,20251104,1234567,8420000,SAMPLE KOKYAKU B,INV-202510-0034,HONTEN
3,20251105,1234567,3280000,SAMPLE KOKYAKU C,INV-202510-0045,SHITEN-X
3,20251108,1234567,22150000,SAMPLE KOKYAKU H,INV-202510-0067,HONTEN
3,20251110,1234567,6780000,SAMPLE KOKYAKU I,INV-202510-0073,HONTEN
3,20251115,1234567,12450000,SAMPLE KOKYAKU J,INV-202510-0089,SHITEN-Y
3,20251118,1234567,4620000,SAMPLE KOKYAKU K,INV-202510-0095,HONTEN
3,20251120,1234567,19800000,SAMPLE KOKYAKU L,INV-202510-0112,SHITEN-Z
3,20251122,1234567,2850000,SAMPLE KOKYAKU M,INV-202510-0125,SHITEN-V
3,20251125,1234567,25480000,SAMPLE KOKYAKU B,INV-202510-0089,HONTEN
3,20251125,1234567,7350000,SAMPLE KOKYAKU D,INV-202510-0134,SHITEN-U
3,20251127,1234567,1580000,SAMPLE KOKYAKU E,INV-202510-0145,SHITEN-W
3,20251128,1234567,33400000,SAMPLE KOKYAKU A,INV-202510-0023,HONTEN
3,20251128,1234567,1248000,SAMPLE KOKYAKU P,INV-202510-0156,SHITEN-X
8,,,165208000,,,
