# SAP FI - Transaction FB10N / Customer AR Aging Report
# Report basis date: 2026-01-31
# Aging buckets:     0-30 / 31-60 / 61-90 / 91-120 / over 120 days
# Export:            2026-02-05 00:00:00 JST

顧客コード,顧客名,残高合計(円),0-30日,31-60日,61-90日,91-120日,120日超
C-10001,サンプル顧客A社,62853240,43997268,12570648,3771194,1885597,628533
C-10002,サンプル顧客B社,110946292,77662404,22189258,6656777,3328388,1109465
C-10003,サンプル顧客C社,81712689,57198882,16342537,4902761,2451380,817129
C-10004,サンプル顧客D社,50507492,35355244,10101498,3030449,1515224,505077
C-10005,サンプル顧客E社,16443319,11510323,3288663,986599,493299,164435
C-10006,サンプル顧客F社,15148147,10603702,3029629,908888,454444,151484
C-10007,サンプル顧客G社,17671923,9896279,3534384,1060315,530157,2650788
C-10011,サンプル顧客H社,63359289,44351502,12671857,3801557,1900778,633595
C-10012,サンプル顧客I社,69999131,48999391,13999826,4199947,2099973,699994
C-10013,サンプル顧客J社,26008432,18205902,5201686,1560505,780252,260087
C-10014,サンプル顧客K社,44783561,31348492,8956712,2687013,1343506,447838
C-10015,サンプル顧客L社,6716663,4701664,1343332,402999,201499,67169
C-10016,サンプル顧客M社,26045554,18231887,5209110,1562733,781366,260458
C-10017,サンプル顧客N社,17588952,9849815,3517790,1055337,527668,2638342
C-10018,サンプル顧客O社,3593696,2515587,718739,215621,107810,35939
C-10021,サンプル顧客P社,60702347,42491642,12140469,3642140,1821070,607026
C-10022,サンプル顧客Q社,34869031,24408321,6973806,2092141,1046070,348693
C-10023,サンプル顧客R社,35627316,19951299,7125463,2137638,1068819,5344097
C-10024,サンプル顧客S社,13061278,9142894,2612255,783676,391838,130615
C-10025,サンプル顧客T社,11570654,8099457,2314130,694239,347119,115709

# Records: 20
