# SAP Credit Management Log
# Module:      FD32 (Credit master) + Credit Check Automation
# Export:      2026-02-10 11:22:05 JST
# Filter:      25 orders under audit IA-REQ-2026-001

タイムスタンプ,受注番号,顧客コード,受注金額,既存売掛金,与信限度額,判定,理由コード
2025-04-02 16:01:00,ORD-2025-0230,C-10021,1260000,120000000,200000000,PASS,WITHIN_LIMIT
2025-04-25 11:27:00,ORD-2025-0360,C-10024,2750000,30000000,50000000,PASS,WITHIN_LIMIT
2025-04-26 11:30:00,ORD-2025-0490,C-10012,1280000,150000000,250000000,PASS,WITHIN_LIMIT
2025-05-07 17:17:00,ORD-2025-0620,C-10013,7700000,108000000,180000000,PASS,WITHIN_LIMIT
2025-05-25 12:56:00,ORD-2025-0750,C-10005,825000,60000000,100000000,PASS,WITHIN_LIMIT
2025-06-03 10:56:00,ORD-2025-0880,C-10024,11550000,30000000,50000000,PASS,WITHIN_LIMIT
2025-06-28 17:38:00,ORD-2025-1010,C-10007,210000,30000000,50000000,HOLD,CREDIT_LIMIT_EXCEEDED
2025-07-13 14:46:00,ORD-2025-1140,C-10017,1250000,36000000,60000000,PASS,WITHIN_LIMIT
2025-07-18 17:49:00,ORD-2025-1270,C-10002,420000,180000000,300000000,PASS,WITHIN_LIMIT
2025-08-06 17:30:00,ORD-2025-1400,C-10021,6300000,120000000,200000000,PASS,WITHIN_LIMIT
2025-08-26 16:10:00,ORD-2025-1530,C-10005,4125000,60000000,100000000,PASS,WITHIN_LIMIT
2025-09-14 17:10:00,ORD-2025-1660,C-10004,1260000,90000000,150000000,PASS,WITHIN_LIMIT
2025-09-24 12:34:00,ORD-2025-1790,C-10007,1024000,30000000,50000000,PASS,WITHIN_LIMIT
2025-10-12 11:17:00,ORD-2025-1920,C-10025,30800000,18000000,30000000,HOLD,CREDIT_LIMIT_EXCEEDED
2025-10-19 09:57:00,ORD-2025-2050,C-10018,14800000,24000000,40000000,PASS,WITHIN_LIMIT
2025-11-21 13:24:00,ORD-2025-2180,C-10013,1024000,108000000,180000000,PASS,WITHIN_LIMIT
2025-11-25 09:56:00,ORD-2025-2310,C-10013,2500000,108000000,180000000,PASS,WITHIN_LIMIT
2025-12-13 10:39:00,ORD-2025-2440,C-10012,640000,150000000,250000000,PASS,WITHIN_LIMIT
2025-12-25 17:28:00,ORD-2025-2570,C-10004,275000,90000000,150000000,PASS,WITHIN_LIMIT
2026-01-07 13:58:00,ORD-2025-2700,C-10007,1920000,30000000,50000000,PASS,WITHIN_LIMIT
2026-01-19 13:23:00,ORD-2025-2830,C-10018,1260000,24000000,40000000,PASS,WITHIN_LIMIT
2026-02-02 10:35:00,ORD-2025-2960,C-10003,4125000,120000000,200000000,HOLD,CREDIT_LIMIT_EXCEEDED
2026-02-20 09:56:00,ORD-2025-3090,C-10018,2500000,24000000,40000000,PASS,WITHIN_LIMIT
2026-03-01 13:32:00,ORD-2025-3220,C-10012,2100000,150000000,250000000,PASS,WITHIN_LIMIT
2026-03-24 16:11:00,ORD-2025-3350,C-10021,1375000,120000000,200000000,PASS,WITHIN_LIMIT

# Records: 25
