# SAP FI - Transaction FB10N / Customer AR Aging Report
# Report basis date: 2026-03-31
# Aging buckets:     0-30 / 31-60 / 61-90 / 91-120 / over 120 days
# Export:            2026-04-05 00:00:00 JST

顧客コード,顧客名,残高合計(円),0-30日,31-60日,61-90日,91-120日,120日超
C-10001,サンプル顧客A社,169620870,118734608,33924174,10177252,5088626,1696210
C-10002,サンプル顧客B社,130222946,91156062,26044589,7813376,3906688,1302231
C-10003,サンプル顧客C社,57092958,39965070,11418591,3425577,1712788,570932
C-10004,サンプル顧客D社,8715150,6100605,1743030,522909,261454,87152
C-10005,サンプル顧客E社,21484626,15039238,4296925,1289077,644538,214848
C-10006,サンプル顧客F社,25847371,18093159,5169474,1550842,775421,258475
C-10007,サンプル顧客G社,4367893,2446023,873578,262073,131036,655183
C-10011,サンプル顧客H社,90512790,63358952,18102558,5430767,2715383,905130
C-10012,サンプル顧客I社,37479811,26235867,7495962,2248788,1124394,374800
C-10013,サンプル顧客J社,3560403,2492282,712080,213624,106812,35605
C-10014,サンプル顧客K社,51165275,35815692,10233055,3069916,1534958,511654
C-10015,サンプル顧客L社,10683772,7478640,2136754,641026,320513,106839
C-10016,サンプル顧客M社,30767425,21537197,6153485,1846045,923022,307676
C-10017,サンプル顧客N社,20606992,11539918,4121398,1236419,618209,3091048
C-10018,サンプル顧客O社,17061600,11943120,3412320,1023696,511848,170616
C-10021,サンプル顧客P社,67111660,46978162,13422332,4026699,2013349,671118
C-10022,サンプル顧客Q社,9399224,6579456,1879844,563953,281976,93995
C-10023,サンプル顧客R社,11632949,6514454,2326589,697976,348988,1744942
C-10024,サンプル顧客S社,14701803,10291262,2940360,882108,441054,147019
C-10025,サンプル顧客T社,6434942,4504459,1286988,386096,193048,64351

# Records: 20
