# SAP FI / 売上計上仕訳明細 (勘定科目 5100 売上高)
# トランザクション: FBL3N
# 出力日時: 2025/12/01 08:45:33 / 出力者: ACC004 中村 真理
# 対象期間: 会計期間 8 (2025/11)

仕訳番号,計上日,伝票タイプ,勘定科目,借方/貸方,金額,顧客コード,受注番号,出荷番号,摘要,起票者
JV-202511-0001,2025-11-26,RV,1220 売掛金,借方,21950700,C-10007,ORD-2025-0213,SH-202511-0001,出荷連動自動仕訳,SAP自動
JV-202511-0001,2025-11-26,RV,5100 売上高,貸方,21950700,C-10007,ORD-2025-0213,SH-202511-0001,出荷連動自動仕訳,SAP自動
JV-202511-0002,2025-11-01,RV,1220 売掛金,借方,2716002,C-10024,ORD-2025-0226,SH-202511-0002,出荷連動自動仕訳,SAP自動
JV-202511-0002,2025-11-01,RV,5100 売上高,貸方,2716002,C-10024,ORD-2025-0226,SH-202511-0002,出荷連動自動仕訳,SAP自動
JV-202511-0003,2025-11-13,RV,1220 売掛金,借方,12600135,C-10001,ORD-2025-0239,SH-202511-0003,出荷連動自動仕訳,SAP自動
JV-202511-0003,2025-11-13,RV,5100 売上高,貸方,12600135,C-10001,ORD-2025-0239,SH-202511-0003,出荷連動自動仕訳,SAP自動
JV-202511-0004,2025-11-01,RV,1220 売掛金,借方,3184203,C-10014,ORD-2025-0252,SH-202511-0004,出荷連動自動仕訳,SAP自動
JV-202511-0004,2025-11-01,RV,5100 売上高,貸方,3184203,C-10014,ORD-2025-0252,SH-202511-0004,出荷連動自動仕訳,SAP自動
JV-202511-0005,2025-11-06,RV,1220 売掛金,借方,4982875,C-10022,ORD-2025-0265,SH-202511-0005,出荷連動自動仕訳,SAP自動
JV-202511-0005,2025-11-06,RV,5100 売上高,貸方,4982875,C-10022,ORD-2025-0265,SH-202511-0005,出荷連動自動仕訳,SAP自動
JV-202511-0006,2025-11-23,RV,1220 売掛金,借方,3723923,C-10024,ORD-2025-0278,SH-202511-0006,出荷連動自動仕訳,SAP自動
JV-202511-0006,2025-11-23,RV,5100 売上高,貸方,3723923,C-10024,ORD-2025-0278,SH-202511-0006,出荷連動自動仕訳,SAP自動
JV-202511-0007,2025-11-16,RV,1220 売掛金,借方,10575888,C-10004,ORD-2025-0291,SH-202511-0007,出荷連動自動仕訳,SAP自動
JV-202511-0007,2025-11-16,RV,5100 売上高,貸方,10575888,C-10004,ORD-2025-0291,SH-202511-0007,出荷連動自動仕訳,SAP自動
JV-202511-0008,2025-11-14,RV,1220 売掛金,借方,12076737,C-10003,ORD-2025-0304,SH-202511-0008,出荷連動自動仕訳,SAP自動
JV-202511-0008,2025-11-14,RV,5100 売上高,貸方,12076737,C-10003,ORD-2025-0304,SH-202511-0008,出荷連動自動仕訳,SAP自動
JV-202511-0009,2025-11-22,RV,1220 売掛金,借方,24093719,C-10017,ORD-2025-0317,SH-202511-0009,出荷連動自動仕訳,SAP自動
JV-202511-0009,2025-11-22,RV,5100 売上高,貸方,24093719,C-10017,ORD-2025-0317,SH-202511-0009,出荷連動自動仕訳,SAP自動
JV-202511-0010,2025-11-15,RV,1220 売掛金,借方,20571006,C-10021,ORD-2025-0330,SH-202511-0010,出荷連動自動仕訳,SAP自動
JV-202511-0010,2025-11-15,RV,5100 売上高,貸方,20571006,C-10021,ORD-2025-0330,SH-202511-0010,出荷連動自動仕訳,SAP自動
JV-202511-0011,2025-11-09,RV,1220 売掛金,借方,20680240,C-10004,ORD-2025-0343,SH-202511-0011,出荷連動自動仕訳,SAP自動
JV-202511-0011,2025-11-09,RV,5100 売上高,貸方,20680240,C-10004,ORD-2025-0343,SH-202511-0011,出荷連動自動仕訳,SAP自動
JV-202511-0012,2025-11-15,RV,1220 売掛金,借方,23307299,C-10013,ORD-2025-0356,SH-202511-0012,出荷連動自動仕訳,SAP自動
JV-202511-0012,2025-11-15,RV,5100 売上高,貸方,23307299,C-10013,ORD-2025-0356,SH-202511-0012,出荷連動自動仕訳,SAP自動
