# SAP Background Job Log
# ジョブ名: ZSD_SHIP_SALES_MATCH
# ジョブ種別: 日次夜間バッチ (毎日01:00JST起動)
# 出力日時: 2026/02/11 09:30:08 JST
# 出力者: IT003 加藤 洋子（情シス部アプリリーダー）
# 抽出条件: 監査依頼IA-REQ-2026-002 指定の25件に対応するバッチ実行ログ
#
# 【監査人注】本ログは出荷-売上マッチングの自動判定記録。
# MATCH_RESULT = OK: 自動マッチ成功（公差内）
# MATCH_RESULT = EXCEPTION: 公差超過または不整合（未マッチ明細として経理部レビューへ）

実行タイムスタンプ,バッチ実行ID,サンプル№,出荷番号,受注番号,売上仕訳番号,出荷金額(円),売上金額(円),差異(円),MATCH_RESULT,詳細メッセージ,実行ユーザ
2025-04-09 00:41:51,ZSD-20250409-001,1,SH-202504-0147,ORD-2025-0927,JV-202504-0163,3750000,3750000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2025-04-24 00:30:35,ZSD-20250424-002,2,SH-202504-0028,ORD-2025-0918,JV-202504-0234,625000,625000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2025-05-13 00:48:36,ZSD-20250513-003,3,SH-202505-0178,ORD-2025-1099,JV-202505-0245,420000,420000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2025-05-28 01:11:16,ZSD-20250528-004,4,SH-202505-0172,ORD-2025-3010,JV-202505-0197,38500000,38500000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2025-06-11 02:32:37,ZSD-20250611-005,5,SH-202506-0180,ORD-2025-1211,JV-202506-0113,18750000,18750000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2025-06-26 00:14:33,ZSD-20250626-006,6,SH-202506-0125,ORD-2025-0943,JV-202506-0255,2500000,2500000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2025-07-10 00:33:37,ZSD-20250710-007,7,SH-202507-0240,ORD-2025-0651,JV-202507-0214,3750000,3750000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2025-07-25 01:46:28,ZSD-20250725-008,8,SH-202507-0032,ORD-2025-2794,JV-202507-0162,2560000,2560000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2025-08-12 02:18:57,ZSD-20250812-009,9,SH-202508-0197,ORD-2025-0989,JV-202508-0216,3750000,3750000,0,EXCEPTION,出荷金額更新検知:当初値と売上計上値に差異 → 未マッチ明細リストへ転送,SAP_BATCH
2025-08-27 01:33:21,ZSD-20250827-010,10,SH-202508-0175,ORD-2025-1634,JV-202508-0114,420000,420000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2025-09-14 02:13:41,ZSD-20250914-011,11,SH-202509-0089,ORD-2025-0494,JV-202509-0280,11550000,11550000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2025-09-29 00:36:08,ZSD-20250929-012,12,SH-202509-0185,ORD-2025-3032,JV-202509-0115,12800000,12800000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2025-10-15 01:55:54,ZSD-20251015-013,13,SH-202510-0191,ORD-2025-1488,JV-202510-0271,10000000,10000000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2025-10-31 01:30:00,ZSD-20251031-014,14,SH-202510-0068,ORD-2025-0582,JV-202510-0145,2560000,2560000,0,EXCEPTION,対応売上仕訳未検出 → 翌日バッチで再試行,SAP_BATCH
2025-11-07 01:28:32,ZSD-20251107-015,15,SH-202511-0078,ORD-2025-2208,JV-202511-0146,384000,384000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2025-11-18 01:48:01,ZSD-20251118-016,16,SH-202511-0234,ORD-2025-2468,JV-202511-0234,12850000,12800000,-50000,EXCEPTION,公差超過:差異50000円(+0.39%) → 未マッチ明細リストへ転送,SAP_BATCH
2025-11-29 02:28:39,ZSD-20251129-017,17,SH-202511-0021,ORD-2025-0883,JV-202511-0223,3700000,3700000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2025-12-13 02:49:10,ZSD-20251213-018,18,SH-202512-0065,ORD-2025-1754,JV-202512-0171,2500000,2500000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2025-12-25 02:23:39,ZSD-20251225-019,19,SH-202512-0059,ORD-2025-2981,JV-202512-0262,1260000,1260000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2026-01-15 00:23:41,ZSD-20260115-020,20,SH-202601-0110,ORD-2025-0714,JV-202601-0249,64000,64000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2026-01-30 00:22:14,ZSD-20260130-021,21,SH-202601-0110,ORD-2025-0603,JV-202601-0236,30800000,30800000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2026-02-11 00:08:04,ZSD-20260211-022,22,SH-202602-0215,ORD-2025-2674,JV-202602-0120,256000,256000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2026-02-26 00:17:58,ZSD-20260226-023,23,SH-202602-0152,ORD-2025-2646,JV-202602-0290,14800000,14800000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2026-03-11 02:41:49,ZSD-20260311-024,24,SH-202603-0069,ORD-2025-2360,JV-202603-0262,4250000,4250000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH
2026-03-25 00:18:35,ZSD-20260325-025,25,SH-202603-0049,ORD-2025-0939,JV-202603-0280,256000,256000,0,OK,金額一致・受注号一致・顧客一致,SAP_BATCH

# --- 例外サンプルの翌日再試行ログ ---
2025-10-31 01:15:00,ZSD-20251031-RETRY-014,14,SH-202510-0068,ORD-2025-0582,JV-202510-0145,2560000,2560000,0,OK,翌日再試行で売上仕訳マッチ成功,SAP_BATCH

# 出力終了 / 通常25行 + 再試行1行 = 26行
