# SAP S/4HANA - Invoice Register
# Transaction: VF05
# Export:      2026-04-10 08:00:00 JST
# Filter:      FY2025 / 代表5件/月 x 12ヶ月 = 60件

請求書番号,発行日,顧客コード,顧客名,請求金額(税抜),消費税,税込金額,支払期日,送付方法
INV-202504-0001,2025-04-30,C-10006,サンプル顧客F社,14144000,1414400,15558400,2025-05-25,PDF_EMAIL
INV-202504-0007,2025-04-30,C-10005,サンプル顧客E社,10622000,1062200,11684200,2025-05-25,PDF_EMAIL
INV-202504-0014,2025-04-30,C-10011,サンプル顧客H社,34002000,3400200,37402200,2025-05-25,PDF_EMAIL
INV-202504-0021,2025-04-30,C-10023,サンプル顧客R社,4672000,467200,5139200,2025-05-25,PAPER_MAIL
INV-202504-0028,2025-04-30,C-10015,サンプル顧客L社,6511000,651100,7162100,2025-05-25,PDF_EMAIL
INV-202505-0001,2025-05-31,C-10021,サンプル顧客P社,6543600,654360,7197960,2025-06-25,PDF_EMAIL
INV-202505-0007,2025-05-31,C-10025,サンプル顧客T社,4352000,435200,4787200,2025-06-25,PDF_EMAIL
INV-202505-0014,2025-05-31,C-10012,サンプル顧客I社,22983000,2298300,25281300,2025-06-25,PDF_EMAIL
INV-202505-0021,2025-05-31,C-10005,サンプル顧客E社,9171000,917100,10088100,2025-06-25,PAPER_MAIL
INV-202505-0028,2025-05-31,C-10024,サンプル顧客S社,24859000,2485900,27344900,2025-06-25,PDF_EMAIL
INV-202506-0001,2025-06-30,C-10014,サンプル顧客K社,24563000,2456300,27019300,2025-07-25,PDF_EMAIL
INV-202506-0007,2025-06-30,C-10023,サンプル顧客R社,2330000,233000,2563000,2025-07-25,PDF_EMAIL
INV-202506-0014,2025-06-30,C-10011,サンプル顧客H社,2489000,248900,2737900,2025-07-25,PDF_EMAIL
INV-202506-0021,2025-06-30,C-10015,サンプル顧客L社,10730000,1073000,11803000,2025-07-25,PAPER_MAIL
INV-202506-0028,2025-06-30,C-10025,サンプル顧客T社,22617000,2261700,24878700,2025-07-25,PDF_EMAIL
INV-202507-0001,2025-07-31,C-10023,サンプル顧客R社,767250,76725,843975,2025-08-25,PDF_EMAIL
INV-202507-0007,2025-07-31,C-10011,サンプル顧客H社,2243000,224300,2467300,2025-08-25,PDF_EMAIL
INV-202507-0014,2025-07-31,C-10004,サンプル顧客D社,33336000,3333600,36669600,2025-08-25,PDF_EMAIL
INV-202507-0021,2025-07-31,C-10025,サンプル顧客T社,18534000,1853400,20387400,2025-08-25,PAPER_MAIL
INV-202507-0028,2025-07-31,C-10015,サンプル顧客L社,5354000,535400,5889400,2025-08-25,PDF_EMAIL
INV-202508-0001,2025-08-31,C-10003,サンプル顧客C社,7896600,789660,8686260,2025-09-25,PDF_EMAIL
INV-202508-0007,2025-08-31,C-10012,サンプル顧客I社,19117000,1911700,21028700,2025-09-25,PDF_EMAIL
INV-202508-0014,2025-08-31,C-10002,サンプル顧客B社,32818000,3281800,36099800,2025-09-25,PDF_EMAIL
INV-202508-0021,2025-08-31,C-10016,サンプル顧客M社,28892000,2889200,31781200,2025-09-25,PAPER_MAIL
INV-202508-0028,2025-08-31,C-10005,サンプル顧客E社,24382000,2438200,26820200,2025-09-25,PDF_EMAIL
INV-202509-0001,2025-09-30,C-10017,サンプル顧客N社,5556600,555660,6112260,2025-10-25,PDF_EMAIL
INV-202509-0007,2025-09-30,C-10014,サンプル顧客K社,10191000,1019100,11210100,2025-10-25,PDF_EMAIL
INV-202509-0014,2025-09-30,C-10017,サンプル顧客N社,33233000,3323300,36556300,2025-10-25,PDF_EMAIL
INV-202509-0021,2025-09-30,C-10012,サンプル顧客I社,12373000,1237300,13610300,2025-10-25,PAPER_MAIL
INV-202509-0028,2025-09-30,C-10012,サンプル顧客I社,26288000,2628800,28916800,2025-10-25,PDF_EMAIL
INV-202510-0001,2025-10-31,C-10005,サンプル顧客E社,7850000,785000,8635000,2025-11-25,PDF_EMAIL
INV-202510-0007,2025-10-31,C-10005,サンプル顧客E社,17432000,1743200,19175200,2025-11-25,PDF_EMAIL
INV-202510-0014,2025-10-31,C-10021,サンプル顧客P社,33938000,3393800,37331800,2025-11-25,PDF_EMAIL
INV-202510-0021,2025-10-31,C-10018,サンプル顧客O社,20619000,2061900,22680900,2025-11-25,PAPER_MAIL
INV-202510-0028,2025-10-31,C-10004,サンプル顧客D社,3599000,359900,3958900,2025-11-25,PDF_EMAIL
INV-202511-0001,2025-11-30,C-10013,サンプル顧客J社,5086200,508620,5594820,2025-12-25,PDF_EMAIL
INV-202511-0007,2025-11-30,C-10006,サンプル顧客F社,34572000,3457200,38029200,2025-12-25,PDF_EMAIL
