# SAP S/4HANA - Transaction VK12
# Report:   Customer-Material Price Condition Change Log
# Table:    KONH / KONP (Condition Records)
# Export:   2026-02-14 14:10:22 JST
# Filter:   25 samples under audit IA-REQ-2026-007


# Records: 25

変更タイムスタンプ,サンプル№,稟議番号,製品コード,顧客コード,テーブル.フィールド,旧値,新値,変更率,変更実行ユーザ
2025-08-23 11:46:20,1,W-2025-1818,P-30027,C-10023,KONP-KBETR,4200,4376,+4.20%,SLS004 松本 香織
2025-11-26 13:42:04,2,W-2025-1836,P-30003,C-10015,KONP-KBETR,2750,2832,+3.00%,SLS004 松本 香織
2025-08-20 13:43:34,3,W-2025-1854,P-30015,C-10021,KONP-KBETR,12800,13184,+3.00%,SLS004 松本 香織
2025-04-24 14:57:02,4,W-2025-1872,P-30011,C-10018,KONP-KBETR,18500,19203,+3.80%,SLS004 松本 香織
2026-03-23 14:47:29,5,W-2025-1890,P-30020,C-10003,KONP-KBETR,42500,44115,+3.80%,SLS004 松本 香織
2025-11-15 15:44:12,6,W-2025-1908,P-30011,C-10007,KONP-KBETR,18500,19277,+4.20%,SLS004 松本 香織
2026-01-10 12:55:31,7,W-2025-1926,P-30008,C-10024,KONP-KBETR,8200,8011,-2.30%,SLS004 松本 香織
2025-09-15 10:44:52,8,W-2025-1944,P-30008,C-10018,KONP-KBETR,8200,8405,+2.50%,SLS004 松本 香織
2026-03-22 14:35:16,9,W-2025-1962,P-30020,C-10005,KONP-KBETR,42500,44115,+3.80%,SLS004 松本 香織
2025-12-06 12:42:40,10,W-2025-1980,P-30006,C-10021,KONP-KBETR,12500,13025,+4.20%,SLS004 松本 香織
2025-09-12 15:38:00,11,W-2025-1998,P-30001,C-10013,KONP-KBETR,4200,4376,+4.20%,SLS004 松本 香織
2025-06-06 11:30:51,12,W-2025-2016,P-30027,C-10002,KONP-KBETR,4200,4103,-2.30%,SLS004 松本 香織
2026-01-14 11:52:26,13,W-2025-2034,P-30003,C-10012,KONP-KBETR,2750,2805,+2.00%,SLS004 松本 香織
2025-07-15 13:55:55,14,W-2025-2052,P-30027,C-10012,KONP-KBETR,4200,4305,+2.50%,SLS004 松本 香織
2025-05-12 15:42:25,15,W-2025-2070,P-30001,C-10024,KONP-KBETR,4200,4137,-1.50%,SLS004 松本 香織
2025-08-11 11:33:03,16,W-2025-2088,P-30014,C-10023,KONP-KBETR,38500,39655,+3.00%,SLS004 松本 香織
2025-07-06 12:45:58,17,W-2025-2106,P-30003,C-10006,KONP-KBETR,2750,2865,+4.20%,SLS004 松本 香織
2025-07-17 14:36:24,18,W-2025-2124,P-30008,C-10015,KONP-KBETR,8200,8011,-2.30%,SLS004 松本 香織
2025-10-07 15:44:55,19,W-2025-2142,P-30006,C-10002,KONP-KBETR,12500,12750,+2.00%,SLS004 松本 香織
2025-04-19 14:33:20,20,W-2025-2160,P-30015,C-10005,KONP-KBETR,12800,13119,+2.50%,SLS004 松本 香織
2025-11-10 15:58:01,21,W-2025-2178,P-30008,C-10021,KONP-KBETR,8200,8364,+2.00%,SLS004 松本 香織
2025-06-06 14:31:28,22,W-2025-2196,P-30006,C-10001,KONP-KBETR,12500,12975,+3.80%,SLS004 松本 香織
2026-02-16 15:44:56,23,W-2025-2214,P-30015,C-10022,KONP-KBETR,12800,13056,+2.00%,SLS004 松本 香織
2025-10-06 10:54:52,24,W-2025-2232,P-30022,C-10005,KONP-KBETR,1280,1250,-2.30%,SLS004 松本 香織
2025-10-14 15:58:50,25,W-2025-2250,P-30006,C-10001,KONP-KBETR,12500,12312,-1.50%,SLS004 松本 香織

# Records: 25
