# SAP S/4HANA - Period-end Shipment & Sales Detail
# Period:   2026-03-25 to 2026-04-01 (+/- 5 business days of fiscal year-end)
# Source:   VA05 (orders) + VL06 (shipments) + FBL3N (sales journals)
# Export:   2026-04-03 08:00:15 JST
# Population: All 41 records in period (exhaustive)

№,受注番号,出荷日,売上計上日,顧客コード,顧客名,製品コード,数量,金額,出荷番号,売上仕訳番号,計上期
1,ORD-2026-3001,2026-03-25,2026-03-25,C-10016,サンプル顧客M社,P-30006,66,825000,SH-202603-0001,JV-202603-0001,FY2025
2,ORD-2026-3002,2026-03-25,2026-03-25,C-10018,サンプル顧客O社,P-30027,53,222600,SH-202603-0002,JV-202603-0002,FY2025
3,ORD-2026-3003,2026-03-31,2026-03-31,C-10001,サンプル顧客A社,P-30006,422,5275000,SH-202603-0003,JV-202603-0003,FY2025
4,ORD-2026-3004,2026-03-27,2026-03-27,C-10025,サンプル顧客T社,P-30006,247,3087500,SH-202603-0004,JV-202603-0004,FY2025
5,ORD-2026-3005,2026-03-31,2026-03-31,C-10012,サンプル顧客I社,P-30027,469,1969800,SH-202603-0005,JV-202603-0005,FY2025
6,ORD-2026-3006,2026-03-31,2026-03-31,C-10012,サンプル顧客I社,P-30015,65,832000,SH-202603-0006,JV-202603-0006,FY2025
7,ORD-2026-3007,2026-03-28,2026-03-29,C-10003,サンプル顧客C社,P-30022,275,352000,SH-202603-0007,JV-202603-0007,FY2025
8,ORD-2026-3008,2026-03-27,2026-03-27,C-10005,サンプル顧客E社,P-30001,239,1003800,SH-202603-0008,JV-202603-0008,FY2025
9,ORD-2026-3009,2026-03-30,2026-03-31,C-10001,サンプル顧客A社,P-30015,127,1625600,SH-202603-0009,JV-202603-0009,FY2025
10,ORD-2026-3010,2026-03-30,2026-03-30,C-10023,サンプル顧客R社,P-30022,453,579840,SH-202603-0010,JV-202603-0010,FY2025
11,ORD-2026-3011,2026-03-27,2026-03-28,C-10012,サンプル顧客I社,P-30001,334,1402800,SH-202603-0011,JV-202603-0011,FY2025
12,ORD-2026-3012,2026-03-30,2026-03-30,C-10006,サンプル顧客F社,P-30027,386,1621200,SH-202603-0012,JV-202603-0012,FY2025
13,ORD-2026-3013,2026-03-27,2026-03-28,C-10005,サンプル顧客E社,P-30011,394,7289000,SH-202603-0013,JV-202603-0013,FY2025
14,ORD-2026-3014,2026-03-29,2026-03-29,C-10025,サンプル顧客T社,P-30015,390,4992000,SH-202603-0014,JV-202603-0014,FY2025
15,ORD-2026-3015,2026-03-29,2026-03-29,C-10023,サンプル顧客R社,P-30011,479,8861500,SH-202603-0015,JV-202603-0015,FY2025
16,ORD-2026-3016,2026-04-01,2026-04-01,C-10012,サンプル顧客I社,P-30015,444,5683200,SH-202603-0016,JV-202604-0016,FY2026
17,ORD-2026-3017,2026-04-01,2026-04-01,C-10013,サンプル顧客J社,P-30003,91,250250,SH-202603-0017,JV-202604-0017,FY2026
18,ORD-2026-3018,2026-03-25,2026-03-25,C-10013,サンプル顧客J社,P-30015,62,793600,SH-202603-0018,JV-202603-0018,FY2025
19,ORD-2026-3019,2026-03-27,2026-03-27,C-10023,サンプル顧客R社,P-30006,264,3300000,SH-202603-0019,JV-202603-0019,FY2025
20,ORD-2026-3020,2026-03-31,2026-04-01,C-10021,サンプル顧客P社,P-30020,436,18530000,SH-202603-0020,JV-202604-0020,FY2026
21,ORD-2026-3021,2026-03-30,2026-03-30,C-10017,サンプル顧客N社,P-30015,245,3136000,SH-202603-0021,JV-202603-0021,FY2025
22,ORD-2026-3022,2026-03-30,2026-03-30,C-10012,サンプル顧客I社,P-30022,300,384000,SH-202603-0022,JV-202603-0022,FY2025
23,ORD-2026-3023,2026-03-29,2026-03-29,C-10017,サンプル顧客N社,P-30014,111,4273500,SH-202603-0023,JV-202603-0023,FY2025
24,ORD-2026-3024,2026-03-29,2026-03-30,C-10004,サンプル顧客D社,P-30014,443,17055500,SH-202603-0024,JV-202603-0024,FY2025
25,ORD-2026-3025,2026-03-29,2026-03-30,C-10024,サンプル顧客S社,P-30001,201,844200,SH-202603-0025,JV-202603-0025,FY2025
26,ORD-2026-3026,2026-03-31,2026-03-31,C-10001,サンプル顧客A社,P-30014,469,18056500,SH-202603-0026,JV-202603-0026,FY2025
27,ORD-2026-3027,2026-03-26,2026-03-26,C-10006,サンプル顧客F社,P-30006,370,4625000,SH-202603-0027,JV-202603-0027,FY2025
28,ORD-2026-3028,2026-04-01,2026-04-01,C-10014,サンプル顧客K社,P-30008,179,1467800,SH-202603-0028,JV-202604-0028,FY2026
29,ORD-2026-3029,2026-03-25,2026-03-26,C-10021,サンプル顧客P社,P-30015,471,6028800,SH-202603-0029,JV-202603-0029,FY2025
30,ORD-2026-3030,2026-03-30,2026-03-30,C-10024,サンプル顧客S社,P-30027,187,785400,SH-202603-0030,JV-202603-0030,FY2025
31,ORD-2026-3031,2026-03-30,2026-03-30,C-10003,サンプル顧客C社,P-30020,231,9817500,SH-202603-0031,JV-202603-0031,FY2025
32,ORD-2026-3032,2026-03-28,2026-03-28,C-10016,サンプル顧客M社,P-30001,68,285600,SH-202603-0032,JV-202603-0032,FY2025
33,ORD-2026-3033,2026-03-25,2026-03-25,C-10016,サンプル顧客M社,P-30014,82,3157000,SH-202603-0033,JV-202603-0033,FY2025
34,ORD-2026-3034,2026-03-26,2026-03-26,C-10014,サンプル顧客K社,P-30011,459,8491500,SH-202603-0034,JV-202603-0034,FY2025
35,ORD-2026-3035,2026-03-26,2026-03-26,C-10004,サンプル顧客D社,P-30003,133,365750,SH-202603-0035,JV-202603-0035,FY2025
